PWave_NWavelength,Error(Dens),Error(Real),Error(Imag),Error(Passive00)
1,3.861488094255087e-08,2.0872816504623e-08,2.0872816498529445e-08,2.2565857377302918e-08
17,1.7446160312131582e-07,1.3092465718902966e-07,1.3092465700655168e-07,1.6655673539026333e-07
33,4.301089603724571e-08,2.552307953924614e-08,2.552308047416892e-08,2.9521387779658323e-08
49,2.2091695555835278e-07,1.4634479111197878e-07,1.4634479191880137e-07,1.795136704831929e-07
65,3.142683948167448e-07,1.3344988614922198e-07,1.3344988720303261e-07,1.1369096043978429e-07
81,6.537424659107394e-06,2.873361670658673e-06,2.8733616711661903e-06,2.516767760806056e-06
97,2.3970708767754017e-05,1.385352965800242e-05,1.3853529652972352e-05,1.5150014836286368e-05
113,0.00010977351416063535,6.983886109024071e-05,6.9838861092871e-05,8.661313914123913e-05
129,0.0011048625133634185,0.000547077206559274,0.0005470772065591742,0.0006007615610994465
145,0.011411055132642189,0.00438296464266506,0.004382964642665947,0.003274487713685755
161,0.02695459891960116,0.013797979658285695,0.013797979658288415,0.04018494657310085
177,0.15129556823765547,0.06909608194984443,0.06909608194984172,0.13140272710134618
193,0.17936830117015237,0.11337604206645556,0.11337604206645008,0.2748010870414563
209,0.5497865688865455,0.3836758788737,0.383675878873697,1.0203525666387403
225,0.5834923140566011,0.4466528344333356,0.4466528344333296,1.4679983338108638
241,0.9225474218609004,0.7323214358187483,0.7323214358187473,2.527459171412515
257,0.9977422732075357,0.6383469414461858,0.6383469414461871,2.164207220674609
273,0.9080699979581744,0.755693566821422,0.7556935668214243,2.7111362861465937
289,0.48064066016359336,0.889533235118504,0.8895332351185062,2.53411016734002
305,0.4087204299284661,0.8479551904849877,0.8479551904849827,2.439547222258761
321,0.1842071220557343,0.9622488868083896,0.9622488868083912,2.5986600113278
337,0.11665716650192869,1.0099790029120206,1.0099790029120153,2.6670165129018617
353,0.029331444741560988,1.0462598299922206,1.0462598299922232,2.690163397363455
369,0.00733145211226815,1.055741726207632,1.0557417262076298,2.6987504769679203
385,0.001300078298258084,1.0581818228714006,1.0581818228714013,2.6996574824975785
401,0.00017465923254995474,1.058645952274855,1.0586459522748546,2.699777297168139
417,1.6734844817649017e-05,1.0586652555910747,1.0586652555910745,2.6998065733708034
433,4.949293552502154e-06,1.0586655323779866,1.0586655323779857,2.6998058468545
449,1.6434053110784937e-07,1.0586647374154352,1.058664737415437,2.6998062026102123
465,2.505112136721218e-07,1.0586646588140638,1.0586646588140611,2.699806211214952
481,5.575063180399999e-08,1.058664690520586,1.0586646905205837,2.699806191506154
497,1.3396537711682192e-07,1.058664707187396,1.0586647071873876,2.699806237130267
