PWave_NWavelength,Error(Dens),Error(Real),Error(Imag),Error(Passive00)
512,6.877571429031448e-14,3.438785714515724e-14,9.08411073604022e-14,2.3193789512830767
1,2.222614453595284e-16,3.069386175888651e-14,3.0735202048910205e-14,4.8257069591413695e-14
2,3.3415110956003247e-16,1.9687270409285244e-12,1.9687384453801267e-12,3.0924188550325842e-12
3,8.79071121451247e-16,2.242274799469919e-11,2.2422750867834943e-11,3.52214143758972e-11
4,7.384500996798769e-15,1.2598370517793262e-10,1.2598371716514287e-10,1.9787581730763232e-10
5,4.400581461727615e-14,4.804837476627146e-10,4.804837607654672e-10,7.547459460715438e-10
6,1.8920021799262446e-13,1.4345151742216014e-09,1.4345151269774915e-09,2.253327607613746e-09
8,1.889925065404197e-12,8.05963706999879e-09,8.059637043381627e-09,1.2655906067969981e-08
9,4.849268772991189e-12,1.6330134250105534e-08,1.6330134227327124e-08,2.565128228505085e-08
11,2.4147526426349094e-11,5.4407509875912415e-08,5.44075099080624e-08,8.546267361252159e-08
12,4.843709960032638e-11,9.16633009670056e-08,9.166330100306381e-08,1.440036478708439e-07
142,0.012798358231533188,0.19016289061525649,0.1901628906152566,0.5892687911348491
15,2.8869799736583324e-10,3.4932949877992025e-07,3.493294988291246e-07,5.487321215048378e-07
270,0.1358989624807916,0.5485534828008436,0.5485534828008447,1.5817500643891114
17,7.857583002226358e-10,7.396180622510163e-07,7.396180622340786e-07,1.1618028143289318e-06
20,2.8833693147944234e-09,1.9578949672428947e-06,1.9578949672536563e-06,3.075885807859166e-06
24,1.2395573920813766e-08,5.835181106531681e-06,5.835181106473108e-06,9.16281394617133e-06
28,4.253081959315272e-08,1.466952869848626e-05,1.466952869858226e-05,2.3040571260899387e-05
33,1.5822503614368498e-07,3.914957327230823e-05,3.91495732723036e-05,6.149561051171164e-05
39,6.013671247661647e-07,0.00010604666967662872,0.00010604666967666344,0.00016657831854580894
167,0.03484014851303903,0.44245758324834816,0.4424575832483471,1.2751661518522648
46,2.2472773399855382e-06,0.0002832428944508118,0.00028324289445146787,0.00044492812534559944
436,0.00012103295441740328,1.1739742386791394,1.1739742386791427,2.9306838763148737
54,8.069618474985938e-06,0.0007333006536780513,0.000733300653678088,0.0011518837903674573
316,0.07667872097928803,0.5102890565984896,0.51028905659849,1.452407075438097
64,3.11401062340678e-05,0.002052467708114971,0.0020524677081152623,0.0031418356371974167
196,0.07667872097928771,0.9073312678002646,0.9073312678002621,2.4078762097789816
75,0.00010905691480548154,0.005073758499002953,0.005073758499002956,0.02021055719031892
88,0.0003807005863332232,0.012866034253179236,0.012866034253179169,0.02020370526386763
230,0.12574345429135753,1.2091222840379032,1.209122284037906,3.0964578063489707
103,0.0012740128965093452,0.03178745028415458,0.031787450284154244,0.09825563368148726
371,0.012210789311469608,1.1488706909636233,1.1488706909636237,2.894534338221832
121,0.004204785327189553,0.07895106172016998,0.07895106172016987,0.24207545677863568
