PWave_NWavelength,Error(Dens),Error(Real),Error(Imag),Error(Passive00)
512,7.942171226238416e-14,3.971085613119208e-14,1.0197824694789053e-13,2.699806186678679
1,8.109832250191572e-16,4.4224267802504814e-16,4.272552770563306e-16,4.614720199936154e-16
2,9.313296661650483e-16,5.654724193233929e-16,5.458483600014052e-16,6.48440990572846e-16
3,1.0664212568567422e-15,6.671892178273728e-16,6.234619889583168e-16,7.407929928119824e-16
4,1.2776238400569184e-15,8.984986691294716e-16,8.870535599461715e-16,1.0740310008548748e-15
5,1.800426127629429e-15,9.366791027434328e-16,1.0130014299722552e-15,1.067834531329236e-15
6,2.036782201231269e-15,1.137204412126995e-15,1.1539705822849466e-15,1.3003310993069117e-15
8,2.65976476954144e-15,1.448697390347975e-15,1.485519606631014e-15,1.6459950806860246e-15
9,2.5791001279085176e-15,1.7132444145003325e-15,1.6982875067177161e-15,2.0881928659648684e-15
11,2.57671488312905e-15,1.9906172115400148e-15,2.013648037375859e-15,2.5039310360373823e-15
12,3.0147325608131936e-15,1.7626637047749374e-15,1.7224330279121472e-15,2.0674185359005094e-15
142,0.000936381287576395,0.0004093394350407295,0.00040933548367741424,0.0003895627338969529
15,3.081519414638301e-15,2.495519734173351e-15,2.418262759026793e-15,3.292796430858717e-15
270,0.6486485127064063,0.90271700239466,0.9027171291126592,2.829239137258344
17,2.5136143166903935e-15,1.7496199797223725e-15,1.5679481943765925e-15,2.0419537079511706e-15
20,1.0833998628778652e-14,5.343299824681677e-15,5.2906059050329856e-15,5.476612646184136e-15
24,1.0761812448134569e-13,4.668142229106304e-14,4.686657691706925e-14,3.8780231196439135e-14
28,7.000300946552463e-13,3.0507914987668033e-13,3.054250306984939e-13,2.3418529756461665e-13
33,6.4294873678566455e-12,3.0865815715222945e-12,3.0872817577556155e-12,2.744496878633669e-12
39,8.351301052610115e-11,4.3696571682129664e-11,4.369735936178424e-11,4.330760621351068e-11
167,0.005899952818354088,0.003492808164615233,0.003492781908424208,0.00414538867036899
46,8.720617947384489e-10,4.811618724379977e-10,4.81179803635059e-10,4.895606261998825e-10
436,8.022194877199338e-07,1.176166902160552,1.1761669021773673,2.9452431282453264
54,6.521110404705126e-09,2.7700049133135188e-09,2.770025826612891e-09,2.380772807763964e-09
316,0.039227487441521755,0.49604505235963686,0.49604522481461166,1.386519339012549
64,6.186496620476552e-08,2.3051177806604137e-08,2.540346670369155e-08,1.7194704747926573e-08
196,0.03922784041825599,0.021176817160092263,0.0211766441616904,0.022779073617671144
75,6.997768704211302e-07,3.1409144348647275e-07,3.1409745374966917e-07,2.8842325883170673e-07
88,1.5110368581194682e-06,9.745454713838627e-07,9.745484151705161e-07,1.1772445680739693e-06
230,0.23401933452463983,0.10299813313390498,0.10299809180726208,0.15763845856132425
103,3.17137194898974e-05,1.5678823412031092e-05,1.5679244672202986e-05,1.5018133106190757e-05
371,0.0007850555902126602,1.2183253212133007,1.2183253121710085,3.031193405085661
121,0.00024358843407402573,9.628760985500673e-05,9.628709668648088e-05,6.886479026197494e-05
