NGrid,Time,Error(Dens),Error(Real),Error(Imag),Source
128,0.0,0.0,0.0,0.0,GaussianWavePacketSlow
128,0.010879732,1.5091607372437653e-15,6.252913418963697e-16,5.613106652121241e-16,GaussianWavePacketSlow
128,0.021759465,2.1090115030984386e-15,1.0149952396509734e-15,7.301834113207966e-16,GaussianWavePacketSlow
128,0.032639197,2.4326413672167135e-15,1.3794689375826278e-15,1.05980567807578e-15,GaussianWavePacketSlow
128,0.04351893,4.068697925164107e-15,1.9299787448859e-15,1.2943325062730466e-15,GaussianWavePacketSlow
128,0.054398662,4.2655230702484e-15,2.271787234121181e-15,1.3369097870001701e-15,GaussianWavePacketSlow
128,0.065278395,3.951108378314543e-15,2.1749192533898816e-15,1.5982824451676708e-15,GaussianWavePacketSlow
128,0.076158127,4.798675257786094e-15,2.587864329837283e-15,1.952145213303741e-15,GaussianWavePacketSlow
128,0.08703786,5.771239576153658e-15,2.937559798443257e-15,1.7983521393339357e-15,GaussianWavePacketSlow
128,0.097917592,8.127638262922791e-15,3.7365033637381815e-15,2.446392061460618e-15,GaussianWavePacketSlow
128,0.10879732,6.9402463185887726e-15,3.4745180157860954e-15,2.7223847241918682e-15,GaussianWavePacketSlow
128,0.11967706,7.329551109147291e-15,3.793401963622438e-15,2.923804870944645e-15,GaussianWavePacketSlow
128,0.13055679,9.337526201717153e-15,4.938422157203263e-15,3.2654951031308327e-15,GaussianWavePacketSlow
128,0.14143652,9.387002635630992e-15,5.0159781531781765e-15,3.044984914933365e-15,GaussianWavePacketSlow
128,0.15231625,9.133057519001214e-15,5.273309816504854e-15,3.3735398200859535e-15,GaussianWavePacketSlow
128,0.16319599,1.10041960212086e-14,5.7990247195107264e-15,3.5410398707214426e-15,GaussianWavePacketSlow
128,0.17407572,1.1316819234662787e-14,6.0856920487853e-15,3.634879673097541e-15,GaussianWavePacketSlow
128,0.18495545,1.0088710386211912e-14,6.256200786919216e-15,3.809054727169198e-15,GaussianWavePacketSlow
128,0.19583518,1.137066749306671e-14,6.863278134505314e-15,4.000674672943741e-15,GaussianWavePacketSlow
128,0.20671492,9.510950667039345e-15,6.667055805433364e-15,4.263132898958919e-15,GaussianWavePacketSlow
128,0.21759465,9.443467884961933e-15,6.760566548744343e-15,4.3719265965258414e-15,GaussianWavePacketSlow
128,0.22847438,1.0188968792618775e-14,7.37021430383567e-15,4.767996982509189e-15,GaussianWavePacketSlow
128,0.23935411,1.0734818163127927e-14,7.608891935927254e-15,4.827598948842384e-15,GaussianWavePacketSlow
128,0.25023385,1.1778243790638651e-14,7.84394778748528e-15,5.250163284644925e-15,GaussianWavePacketSlow
128,0.26111358,9.742071612090256e-15,7.667363361430049e-15,5.6260432655562885e-15,GaussianWavePacketSlow
128,0.27199331,1.2510964218458094e-14,8.177919511348952e-15,5.8664403033932685e-15,GaussianWavePacketSlow
128,0.28287304,1.216435231884485e-14,7.716981227991226e-15,6.110680149386568e-15,GaussianWavePacketSlow
128,0.29375278,1.1238400756740351e-14,7.504749367411237e-15,6.5790151611910816e-15,GaussianWavePacketSlow
128,0.30463251,1.0008161193551854e-14,7.394313185278442e-15,6.387950094788884e-15,GaussianWavePacketSlow
128,0.31551224,1.0771045799951023e-14,7.111759001673622e-15,6.799598700456548e-15,GaussianWavePacketSlow
128,0.32639197,1.1079866947415231e-14,7.740281966169667e-15,7.04195167468072e-15,GaussianWavePacketSlow
128,0.33727171,1.212615684653159e-14,8.365911790372697e-15,7.773221515771392e-15,GaussianWavePacketSlow
128,0.34815144,1.2764003517431594e-14,8.280834967352414e-15,7.433724569523e-15,GaussianWavePacketSlow
128,0.35903117,1.3230887544943658e-14,8.30804038845136e-15,8.478701082972523e-15,GaussianWavePacketSlow
128,0.3699109,1.2991838136267264e-14,8.471070752516894e-15,8.43035814658075e-15,GaussianWavePacketSlow
128,0.38079064,1.1646724528547424e-14,8.48193293718277e-15,8.461375910774052e-15,GaussianWavePacketSlow
128,0.39167037,1.2804449418521362e-14,8.830302010923169e-15,8.381862598674686e-15,GaussianWavePacketSlow
128,0.4025501,1.2986899861134383e-14,8.801380706213881e-15,8.271687117401188e-15,GaussianWavePacketSlow
128,0.41342983,1.4082276511744036e-14,9.512936398087691e-15,9.173813946281105e-15,GaussianWavePacketSlow
128,0.42430957,1.3495221738005947e-14,9.25112227280009e-15,8.888871679012954e-15,GaussianWavePacketSlow
128,0.4351893,1.3285642856167882e-14,8.869124230813353e-15,9.926380273543448e-15,GaussianWavePacketSlow
128,0.44606903,1.6187312164230323e-14,9.512434319308207e-15,1.0307214227562862e-14,GaussianWavePacketSlow
128,0.45694876,1.4835076298326564e-14,9.389093616693773e-15,1.0082669816652248e-14,GaussianWavePacketSlow
128,0.46782849,1.3821803190394692e-14,9.495598110113428e-15,1.0405027686487656e-14,GaussianWavePacketSlow
128,0.47870823,1.6571962256035156e-14,1.0199198468546626e-14,1.0744112762965446e-14,GaussianWavePacketSlow
128,0.48958796,1.6881339154047992e-14,1.0563027918512554e-14,1.0817339608288528e-14,GaussianWavePacketSlow
128,0.50046769,1.8546566084714198e-14,1.075126251513366e-14,1.0813123501793568e-14,GaussianWavePacketSlow
128,0.51134742,1.71179260978947e-14,1.1134347088633488e-14,1.0655062918671179e-14,GaussianWavePacketSlow
128,0.52222716,1.6057555685416756e-14,1.0485252506262716e-14,1.101907109258898e-14,GaussianWavePacketSlow
128,0.53310689,1.7889020327892332e-14,1.1141928774665243e-14,1.1590222020790766e-14,GaussianWavePacketSlow
128,0.54398662,1.7637714263392158e-14,1.1706357172941586e-14,1.0903418061003823e-14,GaussianWavePacketSlow
128,0.55486635,1.794703771891998e-14,1.1336611039020408e-14,1.1241564624976056e-14,GaussianWavePacketSlow
128,0.56574609,1.6996318608324442e-14,1.1978597003260466e-14,1.0664966427890478e-14,GaussianWavePacketSlow
128,0.57662582,1.725012490067231e-14,1.194988957437036e-14,1.1656076291340946e-14,GaussianWavePacketSlow
128,0.58750555,1.8168033667277807e-14,1.2524908902042256e-14,1.1723779634814982e-14,GaussianWavePacketSlow
128,0.59838528,2.2677940951529526e-14,1.3648482012949088e-14,1.2039301101733103e-14,GaussianWavePacketSlow
128,0.60926502,1.852124557910224e-14,1.3049102441230632e-14,1.2152887372926958e-14,GaussianWavePacketSlow
128,0.62014475,2.1262561456578012e-14,1.3788177651225584e-14,1.323448523673701e-14,GaussianWavePacketSlow
128,0.63102448,2.071114394759264e-14,1.4106621381811731e-14,1.2718864200370439e-14,GaussianWavePacketSlow
128,0.64190421,2.268899467855164e-14,1.4433317330886505e-14,1.3495391819161187e-14,GaussianWavePacketSlow
128,0.65278395,2.2994124957031078e-14,1.48018461196438e-14,1.3681883380795522e-14,GaussianWavePacketSlow
128,0.66366368,2.1510751731888407e-14,1.4697890083664635e-14,1.2958973900478038e-14,GaussianWavePacketSlow
128,0.67454341,2.171181292196001e-14,1.5026886256586797e-14,1.3098917295891604e-14,GaussianWavePacketSlow
128,0.68542314,1.9875052257266923e-14,1.4617890468774427e-14,1.3754957866067216e-14,GaussianWavePacketSlow
128,0.69630288,2.1770606881727248e-14,1.6144491596863748e-14,1.3246473823435091e-14,GaussianWavePacketSlow
128,0.70718261,2.4206349171472255e-14,1.6609784158965954e-14,1.4051116159811104e-14,GaussianWavePacketSlow
128,0.71806234,2.4433616316852264e-14,1.7456856069735828e-14,1.4515014082165656e-14,GaussianWavePacketSlow
128,0.72894207,1.9731068964681206e-14,1.6657992192125985e-14,1.451240267958927e-14,GaussianWavePacketSlow
128,0.73982181,2.2694115945629857e-14,1.756933526886762e-14,1.4585267841843875e-14,GaussianWavePacketSlow
128,0.75070154,2.2836247968300007e-14,1.803622321752598e-14,1.4091644145238379e-14,GaussianWavePacketSlow
128,0.76158127,2.3612377163968192e-14,1.8274384318338416e-14,1.5328872137007794e-14,GaussianWavePacketSlow
128,0.772461,2.2799714060856396e-14,1.8664584868567687e-14,1.480854826783895e-14,GaussianWavePacketSlow
128,0.78334074,2.2757214076848793e-14,1.8341014576947403e-14,1.6650529831860675e-14,GaussianWavePacketSlow
128,0.79422047,2.5894719404685284e-14,1.939438295020784e-14,1.6719034468502814e-14,GaussianWavePacketSlow
128,0.8051002,2.5266770046930648e-14,1.9910586004088287e-14,1.6115035602606506e-14,GaussianWavePacketSlow
128,0.81597993,2.5475181021294914e-14,2.0519774640852424e-14,1.570074035315964e-14,GaussianWavePacketSlow
128,0.82685967,2.365884994425665e-14,2.0463386810520758e-14,1.5632169224431142e-14,GaussianWavePacketSlow
128,0.8377394,2.8467474197027684e-14,2.1263773653369764e-14,1.7095554166084506e-14,GaussianWavePacketSlow
128,0.84861913,2.702981830466364e-14,2.1174191448868146e-14,1.689407213298702e-14,GaussianWavePacketSlow
128,0.85949886,2.902743454944681e-14,2.241829946575164e-14,1.72186145007934e-14,GaussianWavePacketSlow
128,0.8703786,2.7177799619230175e-14,2.2357271377176674e-14,1.7197980778198285e-14,GaussianWavePacketSlow
128,0.88125833,2.866545586647064e-14,2.3291493872614836e-14,1.8286897536068207e-14,GaussianWavePacketSlow
128,0.89213806,2.9860722693066024e-14,2.242772863652047e-14,1.7521428779436812e-14,GaussianWavePacketSlow
128,0.90301779,2.748353912615693e-14,2.158104636090633e-14,1.805973854620765e-14,GaussianWavePacketSlow
128,0.91389752,3.0309606109397546e-14,2.3303414167281543e-14,1.906030468548127e-14,GaussianWavePacketSlow
128,0.92477726,2.86819891025681e-14,2.2184771211644205e-14,1.8882600561279103e-14,GaussianWavePacketSlow
128,0.93565699,2.965899417338089e-14,2.2539307439629333e-14,1.9739533629620915e-14,GaussianWavePacketSlow
128,0.94653672,3.371177746951549e-14,2.401104370262615e-14,2.064001774397875e-14,GaussianWavePacketSlow
128,0.95741645,3.2915329329871214e-14,2.356555011214954e-14,2.03367102804018e-14,GaussianWavePacketSlow
128,0.96829619,3.249914138530371e-14,2.4005000175487048e-14,2.1570866295429758e-14,GaussianWavePacketSlow
128,0.97917592,3.271580902507957e-14,2.4817863760709557e-14,2.1818145705919393e-14,GaussianWavePacketSlow
128,0.99005565,3.367031859487918e-14,2.3991477241544577e-14,2.1362829921386415e-14,GaussianWavePacketSlow
128,1.0009354,3.5202160739329635e-14,2.5814732177651926e-14,2.2145059765978078e-14,GaussianWavePacketSlow
128,1.0118151,3.390926150710193e-14,2.5776034630423673e-14,2.1100349657625358e-14,GaussianWavePacketSlow
128,1.0226948,3.404038559546869e-14,2.6268505938704424e-14,2.1301852019513578e-14,GaussianWavePacketSlow
128,1.0335746,3.5386939282707267e-14,2.656019163378901e-14,2.2310927451775316e-14,GaussianWavePacketSlow
128,1.0444543,3.2262986905543314e-14,2.6698456898115392e-14,2.081855534860101e-14,GaussianWavePacketSlow
128,1.055334,3.568123918616488e-14,2.762063056163709e-14,2.2186537275339233e-14,GaussianWavePacketSlow
128,1.0662138,3.823616160562697e-14,2.940538657974232e-14,2.2184307884622056e-14,GaussianWavePacketSlow
128,1.0770935,3.316254605992275e-14,2.6591545670062372e-14,2.2544574714011837e-14,GaussianWavePacketSlow
128,1.0879732,3.402500178308065e-14,2.7941633178756895e-14,2.3355256395301768e-14,GaussianWavePacketSlow
128,1.098853,3.5866763118536094e-14,2.8355651448430013e-14,2.355862900593753e-14,GaussianWavePacketSlow
128,1.1097327,3.831721249428384e-14,2.806920142281108e-14,2.4557904266999522e-14,GaussianWavePacketSlow
128,1.1206124,3.6285671732930174e-14,2.760596926835307e-14,2.473963010363525e-14,GaussianWavePacketSlow
128,1.1314922,3.600167175011118e-14,2.7653989260198808e-14,2.558971914576325e-14,GaussianWavePacketSlow
128,1.1423719,3.686239952605669e-14,2.776824045225626e-14,2.649383194926712e-14,GaussianWavePacketSlow
128,1.1532516,3.833566087187504e-14,2.7959805423607286e-14,2.6251550033166288e-14,GaussianWavePacketSlow
128,1.1641314,3.965455893338576e-14,2.842867712342812e-14,2.608620242559867e-14,GaussianWavePacketSlow
128,1.1750111,3.7786458261402506e-14,2.8176093592622783e-14,2.5655198180717792e-14,GaussianWavePacketSlow
128,1.1858908,4.028618801402151e-14,2.882040445054482e-14,2.7485290790291852e-14,GaussianWavePacketSlow
128,1.1967706,3.869947168711613e-14,2.923194726642958e-14,2.6728815829494407e-14,GaussianWavePacketSlow
128,1.2076503,4.092929608515844e-14,2.9960612441502776e-14,2.7638618153304987e-14,GaussianWavePacketSlow
128,1.21853,3.769737072414209e-14,3.1251159463235954e-14,2.616780134457241e-14,GaussianWavePacketSlow
128,1.2294098,4.0009635144874767e-14,2.994058604153084e-14,2.746682547204171e-14,GaussianWavePacketSlow
128,1.2402895,3.9762870730417066e-14,3.069987569281202e-14,2.705590946053792e-14,GaussianWavePacketSlow
128,1.2511692,3.9903938985584586e-14,3.0110584707011834e-14,2.736473259090915e-14,GaussianWavePacketSlow
128,1.262049,3.871466407005808e-14,3.1312802285972385e-14,2.8604162868341425e-14,GaussianWavePacketSlow
128,1.2729287,3.961280359721792e-14,3.070561603509556e-14,2.7914015457753435e-14,GaussianWavePacketSlow
128,1.2838084,4.125348608725876e-14,3.144987307502446e-14,2.7914440880051197e-14,GaussianWavePacketSlow
128,1.2946882,4.277036624172892e-14,3.226434554639071e-14,2.920312188820157e-14,GaussianWavePacketSlow
128,1.3055679,4.408244060581656e-14,3.301265510957663e-14,2.926030592950365e-14,GaussianWavePacketSlow
128,1.3164476,4.32306778265848e-14,3.288881211642447e-14,2.9870196756581063e-14,GaussianWavePacketSlow
128,1.3273274,4.2343664924220086e-14,3.33010829571274e-14,2.994822881981392e-14,GaussianWavePacketSlow
128,1.3382071,4.583226159704523e-14,3.352262993019592e-14,3.006454677226267e-14,GaussianWavePacketSlow
128,1.3490868,4.6875819740589686e-14,3.46164340681715e-14,2.988038825700243e-14,GaussianWavePacketSlow
128,1.3599666,4.2921612444790647e-14,3.4159585154003996e-14,2.976847826401119e-14,GaussianWavePacketSlow
128,1.3708463,4.6983087993029964e-14,3.605578360291357e-14,3.136301439908562e-14,GaussianWavePacketSlow
128,1.381726,4.712669057077568e-14,3.486787410449804e-14,3.015061887223086e-14,GaussianWavePacketSlow
128,1.3926058,4.5680093822136885e-14,3.489050682484868e-14,3.032264109942284e-14,GaussianWavePacketSlow
128,1.4034855,4.8770205538992146e-14,3.57967033294028e-14,3.221641703410327e-14,GaussianWavePacketSlow
128,1.4143652,4.897072873079333e-14,3.64884378679757e-14,3.169990311913117e-14,GaussianWavePacketSlow
128,1.4252449,4.830730542144945e-14,3.581221843189765e-14,3.1714904072627046e-14,GaussianWavePacketSlow
128,1.4361247,4.868311699948724e-14,3.719246793681096e-14,3.265841407257362e-14,GaussianWavePacketSlow
128,1.4470044,4.9228145431595705e-14,3.8048429458362257e-14,3.320628684131896e-14,GaussianWavePacketSlow
128,1.4578841,5.300927340308458e-14,3.782425625964078e-14,3.3624145134858446e-14,GaussianWavePacketSlow
128,1.4687639,5.12321576221636e-14,3.828928751207876e-14,3.44296090931933e-14,GaussianWavePacketSlow
