OPT__FLU_INT_SCHEME,OPT__INT_PHASE,PWave_NWavelength,OPT__REF_FLU_INT_SCHEME,Mean_L1_Error
4,0,1,4,7.088955548738016e-08
4,0,2,4,5.670907957052132e-07
4,0,3,4,1.913777843425791e-06
4,0,4,4,4.535905968062786e-06
4,0,6,4,1.5303771829654628e-05
4,0,9,4,5.161375965757036e-05
4,0,13,4,0.0001553355870950448
4,0,19,4,0.00048350911607021856
4,0,27,4,0.0013796583649036797
4,0,40,4,0.004427627635118619
4,0,57,4,0.01861363300560705
4,0,83,4,0.060959257121538026
4,0,119,4,0.15842144294846117
4,0,172,4,0.413021967879864
4,0,247,4,0.8750127452702137
4,0,355,4,1.4341927815648157
4,0,512,4,2.090738077037376
4,1,1,4,7.845443361584754e-12
4,1,2,4,3.1381855903302364e-11
4,1,3,4,7.060908637386757e-11
4,1,4,4,1.2552838750197508e-10
4,1,6,4,2.8243677949651774e-10
4,1,9,4,6.354816803924529e-10
4,1,13,4,1.3258815260206553e-09
4,1,19,4,2.8322083639160015e-09
4,1,27,4,5.719335215812293e-09
4,1,40,4,1.2553206749817678e-08
4,1,57,4,2.5489875517457955e-08
4,1,83,4,5.404732278414664e-08
4,1,119,4,1.1109945442333501e-07
4,1,172,4,2.3210199370391635e-07
4,1,247,4,4.786432156252263e-07
4,1,355,4,1.628256109352719
4,1,512,4,2.087670115461605
6,0,1,6,7.84545050800173e-12
6,0,2,6,7.116592496645433e-11
6,0,3,6,5.403431740669154e-10
6,0,4,6,2.2765975358843757e-09
6,0,6,6,1.727856747220657e-08
6,0,9,6,1.3105150715075054e-07
6,0,13,6,8.221043058198152e-07
6,0,19,6,5.45448872271649e-06
6,0,27,6,3.129981789252209e-05
6,0,40,6,0.0002182501958715116
6,0,57,6,0.0012273611697792178
6,0,83,6,0.013421811040509567
6,0,119,6,0.06108890803861547
6,0,172,6,0.2581301552135339
6,0,247,6,0.851507766959116
6,0,355,6,1.5226400786373082
6,0,512,6,2.090738077037376
6,1,1,6,7.845443229024098e-12
6,1,2,6,3.138185558524149e-11
6,1,3,6,7.06090866186601e-11
6,1,4,6,1.2552839015911744e-10
6,1,6,6,2.8243677891333555e-10
6,1,9,6,6.354816847917303e-10
6,1,13,6,1.3258815300455441e-09
6,1,19,6,2.832208371046325e-09
6,1,27,6,5.719335228110152e-09
6,1,40,6,1.25532067525807e-08
6,1,57,6,2.548987554740904e-08
6,1,83,6,5.4047322805171055e-08
6,1,119,6,1.1109945446174965e-07
6,1,172,6,2.3210199375217775e-07
6,1,247,6,4.786432157151297e-07
6,1,355,6,1.6282561093527192
6,1,512,6,2.0907380770373765
8,0,1,8,7.84544072942987e-12
8,0,2,8,3.138181507631431e-11
8,0,3,8,7.06090636403503e-11
8,0,4,8,1.2552834783033996e-10
8,0,6,8,2.824367541388924e-10
8,0,9,8,6.354816463487165e-10
8,0,13,8,1.3258814478225736e-09
8,0,19,8,2.8322082609280183e-09
8,0,27,8,5.719335098988026e-09
8,0,40,8,2.343382603307002e-08
8,0,57,8,1.0165732469627843e-06
8,0,83,8,4.1840236627333775e-05
8,0,119,8,0.0035967638484422663
8,0,172,8,0.1598599231681152
8,0,247,8,0.9574679673671314
8,0,355,8,1.6418743485169123
8,0,512,8,2.0385827302492605
8,1,1,8,7.845430703100874e-12
8,1,2,8,3.138185599901709e-11
8,1,3,8,7.060911648842995e-11
8,1,4,8,1.255283949219837e-10
8,1,6,8,2.8243677431945237e-10
8,1,9,8,6.354816882395779e-10
8,1,13,8,1.3258815880833946e-09
8,1,19,8,2.8322084054839316e-09
8,1,27,8,5.719335265646206e-09
8,1,40,8,1.2553206786646671e-08
8,1,57,8,2.5489875605519312e-08
8,1,83,8,5.404732281222557e-08
8,1,119,8,1.1109945478786093e-07
8,1,172,8,2.3210199391130136e-07
8,1,247,8,4.786432165607496e-07
8,1,355,8,1.6282561093527197
8,1,512,8,2.041650691825032
