OPT__FLU_INT_SCHEME,OPT__INT_PHASE,VorPairLin_kx,OPT__REF_FLU_INT_SCHEME,Mean_L1_Error
4,0,1,4,0.006269238109289809
4,0,2,4,0.006268416362012344
4,0,3,4,0.006268363081467467
4,0,4,4,0.006315407962892626
4,0,6,4,0.006380148006960674
4,0,9,4,0.006609171041846119
4,0,13,4,0.0070638788820642905
4,0,19,4,0.008011647939874373
4,0,27,4,0.009762232095967526
4,0,40,4,0.01416976722711968
4,0,57,4,0.02428042149791306
4,0,83,4,0.05282100019522595
4,0,119,4,0.11590773228432596
4,0,172,4,0.2480948462125175
4,0,247,4,0.45924207873405765
4,0,355,4,0.742517081374287
4,0,512,4,0.9879850035377294
4,1,1,4,0.006235144346390431
4,1,2,4,0.006235638810077156
4,1,3,4,0.006237792929156927
4,1,4,4,0.006280794549618214
4,1,6,4,0.006432712469900917
4,1,9,4,0.006854952016277686
4,1,13,4,0.007668797236464433
4,1,19,4,0.0093804959823896
4,1,27,4,0.012530435388356721
4,1,40,4,0.019833686793937745
4,1,57,4,0.03445854468660862
4,1,83,4,0.07242428572696154
4,1,119,4,0.14699216257296244
4,1,172,4,0.27571543495248874
4,1,247,4,0.46010748700110565
4,1,355,4,0.7433233745566932
4,1,512,4,0.9879850035377142
6,0,1,6,0.006323609228976472
6,0,2,6,0.006321561312182723
6,0,3,6,0.0063223795436613515
6,0,4,6,0.006367347424217294
6,0,6,6,0.0064321739870829685
6,0,9,6,0.006665334332787021
6,0,13,6,0.007124189862796927
6,0,19,6,0.00807679831592963
6,0,27,6,0.009812230755456904
6,0,40,6,0.013913512536489776
6,0,57,6,0.02358564877969706
6,0,83,6,0.0462717245922556
6,0,119,6,0.0944965350775668
6,0,172,6,0.21256784331977008
6,0,247,6,0.45323697903904137
6,0,355,6,0.788155239212992
6,0,512,6,0.9879850035528668
6,1,1,6,0.006398499445688422
6,1,2,6,0.006395368486954302
6,1,3,6,0.006394002421941945
6,1,4,6,0.006432666907624112
6,1,6,6,0.0066065351106347975
6,1,9,6,0.007069406784878278
6,1,13,6,0.008038200105620476
6,1,19,6,0.010229250641949038
6,1,27,6,0.01445408735689036
6,1,40,6,0.024653348551657444
6,1,57,6,0.04462836863592906
6,1,83,6,0.0922199467372336
6,1,119,6,0.1754302755264171
6,1,172,6,0.32999416387602576
6,1,247,6,0.4607569693601212
6,1,355,6,0.7793760242575465
6,1,512,6,0.9879850035377142
8,0,1,8,7.197860949162209e-06
8,0,2,8,7.141926259467764e-06
8,0,3,8,7.197860949068162e-06
8,0,4,8,6.70048066160178e-06
8,0,6,8,7.141926259555001e-06
8,0,9,8,7.197860949113336e-06
8,0,13,8,7.197860947889727e-06
8,0,19,8,7.197860772525337e-06
8,0,27,8,7.19787862963417e-06
8,0,40,8,6.020689202855915e-06
8,0,57,8,7.234130567897035e-06
8,0,83,8,0.00013962637423507314
8,0,119,8,0.0044296774334845815
8,0,172,8,0.10358864009411295
8,0,247,8,0.6028472005052112
8,0,355,8,0.8955329112308485
8,0,512,8,0.9947149442616295
8,1,1,8,7.620256631872537e-10
8,1,2,8,8.39778076144174e-10
8,1,3,8,8.446302674975812e-09
8,1,4,8,8.594852510376794e-08
8,1,6,8,3.409553046869629e-06
8,1,9,8,1.00876599382139e-07
8,1,13,8,1.6750522379720877e-06
8,1,19,8,3.4565271284452956e-05
8,1,27,8,9.407027122451953e-07
8,1,40,8,1.8175601320617284e-05
8,1,57,8,3.486122225201371e-05
8,1,83,8,7.441614351446091e-05
8,1,119,8,0.003517838731515937
8,1,172,8,0.10601338601977858
8,1,247,8,0.9247944077961048
8,1,355,8,0.8998941247029901
8,1,512,8,0.9947149442616308
