OPT__FLU_INT_SCHEME,OPT__INT_PHASE,VorPairLin_kx,OPT__REF_FLU_INT_SCHEME,Mean_L1_Error
4,0,1,4,0.0007118650371027828
4,0,2,4,0.002197459235976991
4,0,3,4,0.0036039954408953034
4,0,4,4,0.009218984447957674
4,0,5,4,0.010334593041621884
4,0,7,4,0.021555511569733565
4,0,9,4,0.037612198365170185
4,0,11,4,0.05913403254697926
4,0,14,4,0.10217564773112281
4,0,19,4,0.1936777821033368
4,0,24,4,0.3204362120483073
4,0,30,4,0.44406873355276105
4,0,39,4,0.6427534030788031
4,0,50,4,0.8361447572526108
4,0,64,4,0.9006693720580372
4,1,1,4,0.000743774339139596
4,1,2,4,0.0022500168116748797
4,1,3,4,0.004385570642260313
4,1,4,4,0.009457376126450754
4,1,5,4,0.012802573287745023
4,1,7,4,0.026760130543289143
4,1,9,4,0.04654557559036893
4,1,11,4,0.07190473470909711
4,1,14,4,0.11931789720721618
4,1,19,4,0.21237291775123418
4,1,24,4,0.32312721207191186
4,1,30,4,0.4449737907521478
4,1,39,4,0.6420814790117093
4,1,50,4,0.8358221975163295
4,1,64,4,0.9006693720580372
6,0,1,6,0.0007095736649574561
6,0,2,6,0.0021885336900303886
6,0,3,6,0.0035284074199374237
6,0,4,6,0.009024744794899606
6,0,5,6,0.00976489236330496
6,0,7,6,0.019500775197451938
6,0,9,6,0.03255830895008789
6,0,11,6,0.04919191027650115
6,0,14,6,0.08316441102863584
6,0,19,6,0.1616893972635296
6,0,24,6,0.29179640956694797
6,0,30,6,0.43352193246070214
6,0,39,6,0.678445906566062
6,0,50,6,0.8652262559696469
6,0,64,6,0.9006600551296051
6,1,1,6,0.0007645027884812066
6,1,2,6,0.0023976196803511293
6,1,3,6,0.004786724436012196
6,1,4,6,0.01029613627625723
6,1,5,6,0.014204548268630886
6,1,7,6,0.02972436311820529
6,1,9,6,0.05130472709340006
6,1,11,6,0.07906313061316644
6,1,14,6,0.12929435463829816
6,1,19,6,0.23695359637231767
6,1,24,6,0.3345920338525639
6,1,30,6,0.4396067410681547
6,1,39,6,0.6739394145185891
6,1,50,6,0.8613748482909588
6,1,64,6,0.9006600551296051
8,0,1,8,1.118086073893017e-13
8,0,2,8,5.503167289307295e-13
8,0,3,8,4.786864577098582e-11
8,0,4,8,1.0671660374187894e-09
8,0,5,8,1.8507583659300435e-08
8,0,7,8,9.88381819993118e-07
8,0,9,8,1.8592366610389616e-05
8,0,11,8,0.0001980200103428689
8,0,14,8,0.00220774413379234
8,0,19,8,0.04099953505961054
8,0,24,8,0.21335012109576448
8,0,30,8,0.5948503200136802
8,0,39,8,1.0128557619758785
8,0,50,8,0.8993234666537027
8,0,64,8,0.9004067132048479
8,1,1,8,1.9474971940427427e-07
8,1,2,8,8.492973521220104e-07
8,1,3,8,5.406416922977115e-06
8,1,4,8,3.206221458066696e-06
8,1,5,8,1.0881881547604494e-05
8,1,7,8,1.3428640704799078e-05
8,1,9,8,1.7031680019847127e-05
8,1,11,8,0.0001513434634294292
8,1,14,8,0.0019344253657861132
8,1,19,8,0.03716013269369252
8,1,24,8,0.24383538738076543
8,1,30,8,0.8389493332328014
8,1,39,8,1.1122368839435048
8,1,50,8,0.8995231450853872
8,1,64,8,0.9004067132048479
