RunName,Resolution,Error(Dens),Error(Real)
fd2_NX0_TOT_X,16.0,0.39033982968903774,0.8949335185657937
fd2_NX0_TOT_X,32.0,0.9258474134483018,0.2929688358252557
fd2_NX0_TOT_X,64.0,0.9231911343530851,0.9234408566653681
fd2_NX0_TOT_X,128.0,0.6379221727215101,0.6378137153667256
fd2_NX0_TOT_X,256.0,0.17466555123109814,0.17465488813748964
fd2_NX0_TOT_X,512.0,0.04400761935300842,0.04401125976332392
fd2_NX0_TOT_X,1024.0,0.011017895624882647,0.011017427144805973
fd2_NX0_TOT_X,2048.0,0.0027549909388864,0.0027549576446762474
fd2_no_cons_NX0_TOT_X,16.0,0.3903396044637308,0.8949311671728698
fd2_no_cons_NX0_TOT_X,32.0,0.8803257014936157,0.2887431795002417
fd2_no_cons_NX0_TOT_X,64.0,0.7931301102967743,0.7931096123744548
fd2_no_cons_NX0_TOT_X,128.0,0.6308065899689952,0.6307930343195367
fd2_no_cons_NX0_TOT_X,256.0,0.17455446167913524,0.1745418749619681
fd2_no_cons_NX0_TOT_X,512.0,0.044003646253821485,0.044007218246301216
fd2_no_cons_NX0_TOT_X,1024.0,0.011017604582982897,0.011017142371233368
fd2_no_cons_NX0_TOT_X,2048.0,0.0027549730137101432,0.0027549388622255325
fd4_NX0_TOT_X,16.0,0.3908812167188198,0.8947198962529831
fd4_NX0_TOT_X,32.0,1.3248688737388012,0.9113882940278896
fd4_NX0_TOT_X,64.0,0.621112054893043,0.62106127903064
fd4_NX0_TOT_X,128.0,0.058063773687851206,0.05808934614730291
fd4_NX0_TOT_X,256.0,0.004589208020788124,0.00458779200989155
fd4_NX0_TOT_X,512.0,0.0005695068140056744,0.0005699355349188342
fd4_NX0_TOT_X,1024.0,0.00011708513105829203,0.0001171561404566872
fd4_NX0_TOT_X,2048.0,2.826475188050754e-05,2.8283192443374757e-05
fd4_no_cons_NX0_TOT_X,16.0,0.3908798086377404,0.8947129777983139
fd4_no_cons_NX0_TOT_X,32.0,1.2929466363274045,0.8838293606638934
