Coord.,Numerical,Analytical,Error,Source
0.03125,0.8970603831642446,4.141399528000377e-73,0.8970603831642446,fd_2_results
0.09375,2.7905142004686367,1.7132256741375226e-67,2.7905142004686367,fd_2_results
0.15625,4.722663696679586,4.224889169054035e-62,4.722663696679586,fd_2_results
0.21875,4.333772695894813,6.210826101219818e-57,4.333772695894813,fd_2_results
0.28125,2.212663026692238,5.442729121745466e-52,2.212663026692238,fd_2_results
0.34375,0.6568956367173686,2.8432652278676776e-47,0.6568956367173686,fd_2_results
0.40625,0.11880731721331458,8.854240808717623e-43,0.11880731721331458,fd_2_results
0.46875,0.0136361721427888,1.6436849816901175e-38,0.0136361721427888,fd_2_results
0.53125,0.001027941134798545,1.818943239335365e-34,0.001027941134798545,fd_2_results
0.59375,5.210837289458948e-05,1.1999219811422438e-30,5.210837289458948e-05,fd_2_results
0.65625,1.792330117818729e-06,4.718676166273966e-27,1.792330117818729e-06,fd_2_results
0.71875,4.180167273629598e-08,1.106166852432296e-23,4.180167273629597e-08,fd_2_results
0.78125,6.576280493336313e-10,1.5458039369226162e-20,6.576280493181734e-10,fd_2_results
0.84375,6.93858462356694e-12,1.2877201162438303e-17,6.938571746365777e-12,fd_2_results
0.90625,4.813125173906596e-14,6.394724715674672e-15,4.1736527023391286e-14,fd_2_results
0.96875,2.0847215700598374e-16,1.893021423523804e-12,1.8928129513667976e-12,fd_2_results
1.03125,5.349606245277164e-19,3.3405848461612973e-10,3.340584840811692e-10,fd_2_results
1.09375,8.020801484055353e-22,3.5141701599082354e-08,3.5141701599081554e-08,fd_2_results
1.15625,7.217252013721248e-25,2.2037197753594135e-06,2.2037197753594135e-06,fd_2_results
1.21875,4.0774318243809675e-28,8.238027802121261e-05,8.238027802121261e-05,fd_2_results
1.28125,1.4830527744317443e-31,0.0018357918604762205,0.0018357918604762205,fd_2_results
1.34375,3.35753672617605e-35,0.02438691860929456,0.02438691860929456,fd_2_results
1.40625,4.356657716992797e-39,0.19311842904697324,0.19311842904697324,fd_2_results
1.46875,2.9813010545455574e-43,0.9116409253017267,0.9116409253017267,fd_2_results
1.53125,1.0153879290035982e-47,2.56541251354152,2.56541251354152,fd_2_results
1.59375,1.6630824342570432e-52,4.303520802164552,4.303520802164552,fd_2_results
1.65625,1.2845826969790844e-57,4.303520802164553,4.303520802164553,fd_2_results
1.71875,4.626836235856234e-63,2.56541251354152,2.56541251354152,fd_2_results
1.78125,7.719186117994243e-69,0.9116409253017267,0.9116409253017267,fd_2_results
1.84375,5.940719047188466e-75,0.19311842904697327,0.19311842904697327,fd_2_results
1.90625,2.1035889745948798e-81,0.024386918609294556,0.024386918609294556,fd_2_results
1.96875,3.421467093463357e-88,0.001835791860476221,0.001835791860476221,fd_2_results
2.03125,2.5534051617697002e-95,8.238027802121261e-05,8.238027802121261e-05,fd_2_results
2.09375,8.737153931759232e-103,2.2037197753594135e-06,2.2037197753594135e-06,fd_2_results
2.15625,1.3701079271420682e-110,3.5141701599082354e-08,3.5141701599082354e-08,fd_2_results
2.21875,9.843163252875198e-119,3.3405848461612963e-10,3.3405848461612963e-10,fd_2_results
2.28125,3.2390383478258557e-127,1.893021423523804e-12,1.893021423523804e-12,fd_2_results
2.34375,4.881305163580069e-136,6.394724715674672e-15,6.394724715674672e-15,fd_2_results
2.40625,3.368618272802237e-145,1.28772011624383e-17,1.28772011624383e-17,fd_2_results
2.46875,1.0644736757922228e-154,1.545803936922616e-20,1.545803936922616e-20,fd_2_results
2.53125,1.5401604158888525e-164,1.106166852432296e-23,1.106166852432296e-23,fd_2_results
2.59375,1.0203091838060998e-174,4.718676166273965e-27,4.718676166273965e-27,fd_2_results
2.65625,3.0947358434745266e-185,1.1999219811422434e-30,1.1999219811422434e-30,fd_2_results
2.71875,4.297692469465498e-196,1.8189432393353655e-34,1.8189432393353655e-34,fd_2_results
2.78125,2.732517774568909e-207,1.6436849816901175e-38,1.6436849816901175e-38,fd_2_results
2.84375,7.954334038783437e-219,8.854240808717623e-43,8.854240808717623e-43,fd_2_results
2.90625,1.060122298342986e-230,2.8432652278676776e-47,2.8432652278676776e-47,fd_2_results
2.96875,6.468717339810503e-243,5.442729121745465e-52,5.442729121745465e-52,fd_2_results
3.03125,1.8071308137393396e-255,6.210826101219819e-57,6.210826101219819e-57,fd_2_results
3.09375,2.3113709229867246e-268,4.224889169054033e-62,4.224889169054033e-62,fd_2_results
3.15625,1.353499030174978e-281,1.7132256741375226e-67,1.7132256741375226e-67,fd_2_results
3.21875,3.6287265173896852e-295,4.1413995280003776e-73,4.1413995280003776e-73,fd_2_results
3.28125,4.45408331201101e-309,5.967782512715657e-79,5.967782512715657e-79,fd_2_results
3.34375,2.5e-323,5.126395957334956e-85,5.126395957334956e-85,fd_2_results
3.40625,0.0,2.6250924921332384e-91,2.6250924921332384e-91,fd_2_results
3.46875,0.0,8.013281038443843e-98,8.013281038443843e-98,fd_2_results
3.53125,0.0,1.4581743051259157e-104,1.4581743051259157e-104,fd_2_results
3.59375,0.0,1.5817644482928113e-111,1.5817644482928113e-111,fd_2_results
3.65625,0.0,1.0228394765915606e-118,1.0228394765915606e-118,fd_2_results
3.71875,0.0,3.942815495941484e-126,3.942815495941484e-126,fd_2_results
3.78125,0.0,9.060219729893178e-134,9.060219729893178e-134,fd_2_results
3.84375,0.0,1.2410929489483644e-141,1.2410929489483644e-141,fd_2_results
3.90625,0.0,1.0134520099620166e-149,1.0134520099620166e-149,fd_2_results
3.96875,0.0,4.9332755141724005e-158,4.9332755141724005e-158,fd_2_results
4.03125,0.0,1.4315313231948904e-166,1.4315313231948904e-166,fd_2_results
4.09375,0.0,2.4762793839353773e-175,2.4762793839353773e-175,fd_2_results
4.15625,0.0,2.553475710042682e-184,2.553475710042682e-184,fd_2_results
4.21875,0.0,1.5696293910411322e-193,1.5696293910411322e-193,fd_2_results
4.28125,0.0,5.751694567755423e-203,5.751694567755423e-203,fd_2_results
4.34375,0.0,1.2563996632297862e-212,1.2563996632297862e-212,fd_2_results
4.40625,0.0,1.6360369545066086e-222,1.6360369545066086e-222,fd_2_results
4.46875,0.0,1.26996487509381e-232,1.26996487509381e-232,fd_2_results
