Time,Step,dt,NCell,NUpdate_Cell,ElapsedTime,Perf_Overall,Perf_PerRank,NUpdate_Lv0,NUpdate_Lv1,NUpdate_Lv2,NUpdate_Lv3,NUpdate_Lv4,NUpdate_Lv5,NUpdate_Lv6,NUpdate_Lv7,NUpdate_Lv8,NUpdate_Lv9,Scheme,Rank
1.4868867e-07,1,1.4868867e-07,2870000000.0,5510000000.0,162.0,34000000.0,8490000.0,1,2,7,0,0,0,0,0,0,0,Fluid,1
2.9721593e-07,2,1.4852726e-07,2870000000.0,5510000000.0,166.0,33200000.0,8290000.0,1,2,7,0,0,0,0,0,0,0,Fluid,1
4.4967368e-07,3,1.5245776e-07,2870000000.0,5510000000.0,164.0,33600000.0,8400000.0,1,2,7,0,0,0,0,0,0,0,Fluid,1
6.0171087e-07,4,1.5203719e-07,2870000000.0,5510000000.0,169.0,32600000.0,8150000.0,1,2,7,0,0,0,0,0,0,0,Fluid,1
7.6293196e-07,5,1.6122109e-07,2870000000.0,5510000000.0,162.0,33900000.0,8480000.0,1,2,7,0,0,0,0,0,0,0,Fluid,1
1.4868867e-07,1,1.4868867e-07,2870000000.0,5510000000.0,12.5,440000000.0,6870000.0,1,2,7,0,0,0,0,0,0,0,Fluid,16
2.9721593e-07,2,1.4852726e-07,2870000000.0,5510000000.0,15.3,360000000.0,5630000.0,1,2,7,0,0,0,0,0,0,0,Fluid,16
4.4967368e-07,3,1.5245776e-07,2870000000.0,5510000000.0,13.7,403000000.0,6300000.0,1,2,7,0,0,0,0,0,0,0,Fluid,16
6.0171087e-07,4,1.5203719e-07,2870000000.0,5510000000.0,16.7,330000000.0,5160000.0,1,2,7,0,0,0,0,0,0,0,Fluid,16
7.6293196e-07,5,1.6122109e-07,2870000000.0,5510000000.0,12.3,449000000.0,7020000.0,1,2,7,0,0,0,0,0,0,0,Fluid,16
1.4868867e-07,1,1.4868867e-07,2870000000.0,5510000000.0,82.4,66900000.0,8360000.0,1,2,7,0,0,0,0,0,0,0,Fluid,2
2.9721593e-07,2,1.4852726e-07,2870000000.0,5510000000.0,85.6,64400000.0,8040000.0,1,2,7,0,0,0,0,0,0,0,Fluid,2
4.4967368e-07,3,1.5245776e-07,2870000000.0,5510000000.0,84.0,65600000.0,8200000.0,1,2,7,0,0,0,0,0,0,0,Fluid,2
6.0171087e-07,4,1.5203719e-07,2870000000.0,5510000000.0,87.5,63000000.0,7870000.0,1,2,7,0,0,0,0,0,0,0,Fluid,2
7.6293196e-07,5,1.6122109e-07,2870000000.0,5510000000.0,82.4,66900000.0,8360000.0,1,2,7,0,0,0,0,0,0,0,Fluid,2
1.4868867e-07,1,1.4868867e-07,2870000000.0,5510000000.0,8.91,618000000.0,6440000.0,1,2,7,0,0,0,0,0,0,0,Fluid,24
2.9721593e-07,2,1.4852726e-07,2870000000.0,5510000000.0,12.1,456000000.0,4750000.0,1,2,7,0,0,0,0,0,0,0,Fluid,24
4.4967368e-07,3,1.5245776e-07,2870000000.0,5510000000.0,10.3,534000000.0,5560000.0,1,2,7,0,0,0,0,0,0,0,Fluid,24
6.0171087e-07,4,1.5203719e-07,2870000000.0,5510000000.0,13.7,401000000.0,4180000.0,1,2,7,0,0,0,0,0,0,0,Fluid,24
7.6293196e-07,5,1.6122109e-07,2870000000.0,5510000000.0,8.9,619000000.0,6450000.0,1,2,7,0,0,0,0,0,0,0,Fluid,24
1.4868867e-07,1,1.4868867e-07,2870000000.0,5510000000.0,41.7,132000000.0,8250000.0,1,2,7,0,0,0,0,0,0,0,Fluid,4
