Coord. Numerical Analytical Error
 3.9062500000000000e-03 -6.6536902437638823e-01 -6.6536902437638823e-01 0.0000000000000000e+00
 1.1718750000000000e-02 -9.4573587065465273e-02 -9.4573587065465273e-02 0.0000000000000000e+00
 1.9531250000000000e-02 6.1823370806014200e-01 6.1823370806014200e-01 0.0000000000000000e+00
 2.7343750000000000e-02 1.2548637625020076e+00 1.2548637625020076e+00 0.0000000000000000e+00
 3.5156250000000000e-02 1.5864484419568790e+00 1.5864484419568790e+00 0.0000000000000000e+00
 4.2968750000000000e-02 1.4543574889092805e+00 1.4543574889092805e+00 0.0000000000000000e+00
 5.0781250000000000e-02 8.3745817715438553e-01 8.3745817715438553e-01 0.0000000000000000e+00
 5.8593750000000000e-02 -1.2176141618645321e-01 -1.2176141618645321e-01 0.0000000000000000e+00
 6.6406250000000000e-02 -1.1474352944496009e+00 -1.1474352944496009e+00 0.0000000000000000e+00
 7.4218750000000000e-02 -1.9122994819794545e+00 -1.9122994819794545e+00 0.0000000000000000e+00
 8.2031250000000000e-02 -2.1464579449382364e+00 -2.1464579449382364e+00 0.0000000000000000e+00
 8.9843750000000000e-02 -1.7353406192862317e+00 -1.7353406192862317e+00 0.0000000000000000e+00
 9.7656250000000000e-02 -7.7009653340736672e-01 -7.7009653340736672e-01 0.0000000000000000e+00
 1.0546875000000000e-01 4.7121677254346461e-01 4.7121677254346461e-01 0.0000000000000000e+00
 1.1328125000000000e-01 1.6088301204614115e+00 1.6088301204614115e+00 0.0000000000000000e+00
 1.2109375000000000e-01 2.2852781433862148e+00 2.2852781433862148e+00 0.0000000000000000e+00
 1.2890625000000000e-01 2.2852781433862148e+00 2.2852781433862148e+00 0.0000000000000000e+00
 1.3671875000000000e-01 1.6088301204614115e+00 1.6088301204614115e+00 0.0000000000000000e+00
 1.4453125000000000e-01 4.7121677254346461e-01 4.7121677254346461e-01 0.0000000000000000e+00
 1.5234375000000000e-01 -7.7009653340736672e-01 -7.7009653340736672e-01 0.0000000000000000e+00
 1.6015625000000000e-01 -1.7353406192862317e+00 -1.7353406192862317e+00 0.0000000000000000e+00
 1.6796875000000000e-01 -2.1464579449382364e+00 -2.1464579449382364e+00 0.0000000000000000e+00
 1.7578125000000000e-01 -1.9122994819794545e+00 -1.9122994819794545e+00 0.0000000000000000e+00
 1.8359375000000000e-01 -1.1474352944496009e+00 -1.1474352944496009e+00 0.0000000000000000e+00
 1.9140625000000000e-01 -1.2176141618645321e-01 -1.2176141618645321e-01 0.0000000000000000e+00
 1.9921875000000000e-01 8.3745817715438553e-01 8.3745817715438553e-01 0.0000000000000000e+00
 2.0703125000000000e-01 1.4543574889092805e+00 1.4543574889092805e+00 0.0000000000000000e+00
 2.1484375000000000e-01 1.5864484419568790e+00 1.5864484419568790e+00 0.0000000000000000e+00
 2.2265625000000000e-01 1.2548637625020076e+00 1.2548637625020076e+00 0.0000000000000000e+00
 2.3046875000000000e-01 6.1823370806014200e-01 6.1823370806014200e-01 0.0000000000000000e+00
 2.3828125000000000e-01 -9.4573587065465273e-02 -9.4573587065465273e-02 0.0000000000000000e+00
 2.4609375000000000e-01 -6.6536902437638823e-01 -6.6536902437638823e-01 0.0000000000000000e+00
 2.5390625000000000e-01 -9.5263085043589268e-01 -9.5263085043589268e-01 0.0000000000000000e+00
 2.6171875000000000e-01 -9.2300696138576632e-01 -9.2300696138576632e-01 0.0000000000000000e+00
 2.6953125000000000e-01 -6.4333128249894356e-01 -6.4333128249894356e-01 0.0000000000000000e+00
 2.7734375000000000e-01 -2.4224710113985684e-01 -2.4224710113985684e-01 0.0000000000000000e+00
 2.8515625000000000e-01 1.4077918680481893e-01 1.4077918680481893e-01 0.0000000000000000e+00
 2.9296875000000000e-01 4.0017898219530651e-01 4.0017898219530651e-01 0.0000000000000000e+00
 3.0078125000000000e-01 4.8944685077289063e-01 4.8944685077289063e-01 0.0000000000000000e+00
 3.0859375000000000e-01 4.2254728701742988e-01 4.2254728701742988e-01 0.0000000000000000e+00
 3.1640625000000000e-01 2.5609702207803764e-01 2.5609702207803764e-01 0.0000000000000000e+00
 3.2421875000000000e-01 6.2258762637222020e-02 6.2258762637222020e-02 0.0000000000000000e+00
