OPT__FLU_INT_SCHEME,OPT__INT_PHASE,PWave_NWavelength,OPT__REF_FLU_INT_SCHEME,Mean_L1_Error
4,0,1,4,8.662917731376278e-08
4,0,2,4,6.930008064551793e-07
4,0,3,4,2.338694314464466e-06
4,0,4,4,5.542963244669616e-06
4,0,6,4,1.8701637454771964e-05
4,0,9,4,6.307357041125138e-05
4,0,13,4,0.00018982475644631976
4,0,19,4,0.0005908629524945425
4,0,27,4,0.001685985987858271
4,0,40,4,0.00541035055171445
4,0,57,4,0.015284562729475787
4,0,83,4,0.04492750035556537
4,0,119,4,0.12146813222326186
4,0,172,4,0.3151372334429189
4,0,247,4,0.7141208386639866
4,0,355,4,1.2256867939628049
4,0,512,4,1.4142135623730958
4,1,1,4,9.587381516108657e-12
4,1,2,4,3.834951488886791e-11
4,1,3,4,8.628643391536047e-11
4,1,4,4,1.5339808359751523e-10
4,1,6,4,3.451456475619252e-10
4,1,9,4,7.7657778165746e-10
4,1,13,4,1.6202672350128556e-09
4,1,19,4,3.461044153648595e-09
4,1,27,4,6.9892002901273875e-09
4,1,40,4,1.5339807922564025e-08
4,1,57,4,3.1149397512321156e-08
4,1,83,4,6.604746043568652e-08
4,1,119,4,1.3576688797011865e-07
4,1,172,4,2.836330484627378e-07
4,1,247,4,5.84916462073812e-07
4,1,355,4,1.4142135623730843
4,1,512,4,1.4142135623730958
6,0,1,6,9.587377667883418e-12
6,0,2,6,8.696675150319955e-11
6,0,3,6,6.603156840327218e-10
6,0,4,6,2.7820454800259793e-09
6,0,6,6,2.111489252044217e-08
6,0,9,6,1.6014889882727102e-07
6,0,13,6,1.0046362845606774e-06
6,0,19,6,6.6655499439904724e-06
6,0,27,6,3.824932343709198e-05
6,0,40,6,0.00026669773674037995
6,0,57,6,0.001499871145467235
6,0,83,6,0.008924881362670094
6,0,119,6,0.04508744148140481
6,0,172,6,0.20302487830400903
6,0,247,6,0.6948660795695871
6,0,355,6,1.3099643928867335
6,0,512,6,1.4142135623730958
6,1,1,6,9.587381430723436e-12
6,1,2,6,3.8349515847995036e-11
6,1,3,6,8.628643446015455e-11
6,1,4,6,1.533980852905965e-10
6,1,6,6,3.451456467550929e-10
6,1,9,6,7.765777859728477e-10
6,1,13,6,1.620267242376989e-09
6,1,19,6,3.4610441649373155e-09
6,1,27,6,6.989200306108565e-09
6,1,40,6,1.5339807921890786e-08
6,1,57,6,3.114939755044508e-08
6,1,83,6,6.604746046402943e-08
6,1,119,6,1.3576688801465578e-07
6,1,172,6,2.8363304852599576e-07
6,1,247,6,5.849164621976124e-07
6,1,355,6,1.4142135623730843
6,1,512,6,1.4142135623730958
8,0,1,8,9.587378423981505e-12
8,0,2,8,3.8349497863185396e-11
8,0,3,8,8.628641122712743e-11
8,0,4,8,1.5339805146192286e-10
8,0,6,8,3.4514561981148106e-10
8,0,9,8,7.765777385495447e-10
8,0,13,8,1.6202671529031605e-09
8,0,19,8,3.4610440406080916e-09
8,0,27,8,6.989200154813333e-09
8,0,40,8,2.8637078212807375e-08
8,0,57,8,1.2422728931566536e-06
8,0,83,8,5.112860935081189e-05
8,0,119,8,0.0043954703115351695
8,0,172,8,0.11512497392615216
8,0,247,8,0.809659056004798
8,0,355,8,1.4257157528065405
8,0,512,8,1.4142135623730938
8,1,1,8,9.587378199054728e-12
8,1,2,8,3.834951936515697e-11
8,1,3,8,8.628644541276738e-11
8,1,4,8,1.5339807035336907e-10
8,1,6,8,3.451456362100966e-10
8,1,9,8,7.765777863374364e-10
8,1,13,8,1.6202672490939266e-09
8,1,19,8,3.461044114003159e-09
8,1,27,8,6.989200267534354e-09
8,1,40,8,1.5339807833226583e-08
8,1,57,8,3.1149397464411185e-08
8,1,83,8,6.604746025750198e-08
8,1,119,8,1.3576688797329156e-07
8,1,172,8,2.83633048230113e-07
8,1,247,8,5.849164622453205e-07
8,1,355,8,1.4142135623730847
8,1,512,8,1.4142135623730936
