OPT__FLU_INT_SCHEME,OPT__INT_PHASE,PWave_NWavelength,OPT__REF_FLU_INT_SCHEME,Mean_L1_Error
4,0,1,4,7.088955548763893e-08
4,0,2,4,5.67090795712842e-07
4,0,3,4,1.9137778434273345e-06
4,0,4,4,4.535905968063063e-06
4,0,6,4,1.5303771829654282e-05
4,0,9,4,5.161375965757306e-05
4,0,13,4,0.00015533558709504493
4,0,19,4,0.0004835091160702228
4,0,27,4,0.0013796583649036717
4,0,40,4,0.004427627635118622
4,0,57,4,0.018613633005607047
4,0,83,4,0.060959257121538046
4,0,119,4,0.15842144294846133
4,0,172,4,0.41302196787986634
4,0,247,4,0.8750127452702333
4,0,355,4,1.4341927815648212
4,0,512,4,2.090738077037376
4,1,1,4,2.1044448871238366e-16
4,1,2,4,3.9070961703057024e-16
4,1,3,4,5.425826244732663e-16
4,1,4,4,7.497944119424539e-16
4,1,6,4,1.0607177605064053e-15
4,1,9,4,1.5496635059024507e-15
4,1,13,4,2.204760481374821e-15
4,1,19,4,3.131360739078875e-15
4,1,27,4,4.496941327411627e-15
4,1,40,4,1.817703905687522e-15
4,1,57,4,1.6562410029742495e-15
4,1,83,4,1.345615979414321e-14
4,1,119,4,1.9290965733062245e-14
4,1,172,4,3.0081102031216753e-14
4,1,247,4,1.732093205741522e-14
4,1,355,4,1.6282561093527255
4,1,512,4,2.087670115461605
6,0,1,6,2.2241106832982584e-12
6,0,2,6,7.116592681298615e-11
6,0,3,6,5.403431749518531e-10
6,0,4,6,2.2765975506168197e-09
6,0,6,6,1.727856746806331e-08
6,0,9,6,1.3105150714974744e-07
6,0,13,6,8.221043058294926e-07
6,0,19,6,5.454488722717236e-06
6,0,27,6,3.129981789252278e-05
6,0,40,6,0.0002182501958715154
6,0,57,6,0.00122736116977921
6,0,83,6,0.013421811040509567
6,0,119,6,0.06108890803861554
6,0,172,6,0.25813015521353533
6,0,247,6,0.8515077669591351
6,0,355,6,1.522640078637314
6,0,512,6,2.090738077037376
6,1,1,6,2.115570664886022e-16
6,1,2,6,3.927276730274036e-16
6,1,3,6,5.466839580038716e-16
6,1,4,6,7.465333350955249e-16
6,1,6,6,1.0621013888257452e-15
6,1,9,6,1.5079894848975392e-15
6,1,13,6,2.245924165029012e-15
6,1,19,6,3.099280001476329e-15
6,1,27,6,4.51161405564044e-15
6,1,40,6,2.0172767265218966e-15
6,1,57,6,1.8897991149930717e-15
6,1,83,6,1.3259894636967863e-14
6,1,119,6,1.9338448706019426e-14
6,1,172,6,3.0597527854762333e-14
6,1,247,6,1.8520496940943208e-14
6,1,355,6,1.6282561093527255
6,1,512,6,2.0907380770373765
8,0,1,8,2.630733985823719e-16
8,0,2,8,4.112158611671232e-16
8,0,3,8,5.526375408318853e-16
8,0,4,8,7.692007837969972e-16
8,0,6,8,1.0432849754189646e-15
8,0,9,8,1.39305113736163e-15
8,0,13,8,1.4066271061545141e-14
8,0,19,8,1.750918829784571e-12
8,0,27,8,1.5030908407338734e-10
8,0,40,8,1.8693807589875025e-08
8,0,57,8,1.016573247010109e-06
8,0,83,8,4.184023662734542e-05
8,0,119,8,0.0035967638484422954
8,0,172,8,0.15985992316811637
8,0,247,8,0.9574679673671538
8,0,355,8,1.6418743485169185
8,0,512,8,2.0385827302492605
8,1,1,8,4.528297428327797e-16
8,1,2,8,5.874084550749111e-16
8,1,3,8,7.122467119400917e-16
8,1,4,8,8.674337357889202e-16
8,1,6,8,1.1124096401784935e-15
8,1,9,8,1.47606777773084e-15
8,1,13,8,2.413925526820377e-15
8,1,19,8,3.355761577904931e-15
8,1,27,8,4.7102089769372095e-15
8,1,40,8,3.279404945841745e-15
8,1,57,8,3.3702756992143703e-15
8,1,83,8,1.3757603573477965e-14
8,1,119,8,1.9934207423646607e-14
8,1,172,8,3.146597718305501e-14
8,1,247,8,3.134231270209649e-14
8,1,355,8,1.6282561093527261
8,1,512,8,2.038582730249261
