OPT__FLU_INT_SCHEME,OPT__REF_FLU_INT_SCHEME,OPT__INT_PHASE,PWave_NWavelength,Mean_L1_Error
8,8,0,1,5.020612425148466e-13
8,8,0,3,3.4682446489937326e-11
8,8,0,5,1.8693807660451504e-08
8,8,0,7,8.455332814414089e-07
8,8,0,9,8.460263606121493e-06
8,8,0,11,9.009107118095166e-05
8,8,0,13,0.0007897979339045642
8,8,0,15,0.003933936732297019
8,8,0,17,0.011648511844481776
8,8,0,19,0.022180185404542852
8,8,0,21,0.07714384922871641
8,8,0,23,0.18898191647304602
8,8,0,25,0.24859327709389037
8,8,0,27,0.4032308263466112
8,8,0,29,0.6429501354813025
8,8,0,31,1.0098510935654375
8,8,0,33,1.36683426927962
8,8,0,35,1.6160108005311564
8,8,0,37,1.6777229293822498
8,8,0,39,1.7117755068033242
8,8,0,41,1.7025686930493602
8,8,0,43,1.658724097899009
8,8,0,45,1.6316863753214847
8,8,0,47,1.6255558437823865
8,8,0,49,1.626883512353893
8,8,0,51,1.6279847142888209
8,8,0,53,1.6282680510365422
8,8,0,55,1.6283009927998333
8,8,0,57,1.6283008031275992
8,8,0,59,1.6283006067392547
