PWave_NWavelength,Error(Dens),Error(Real),Error(Imag),Error(Passive00)
1,9.54097911787244e-15,3.3776692380527162e-15,3.36731510730548e-15,1.8179359927150696e-15
2,7.370840049425453e-15,2.4719543792664843e-15,2.6144565980178853e-15,0.1963495408493634
3,6.586745038283937e-15,3.347853678309365e-15,3.3511604949354457e-15,3.37593451457674e-15
4,2.4338170367954604e-15,2.9815559743351368e-15,2.9997705708328937e-15,4.386681989876352e-15
5,4.621303340002215e-15,3.636956187602625e-15,4.6424452823656814e-15,6.003227429052239e-15
6,1.4099832412739488e-14,7.677498340949714e-15,7.985617119083753e-15,0.19634954084937128
7,1.4504022982642084e-14,1.0482554494567475e-14,1.0212425523292712e-14,1.451182923828398e-14
8,1.3329615189405786e-14,1.2197708121330919e-14,1.1966122537288015e-14,1.8225004838612332e-14
9,1.308848862624501e-14,1.382558347320928e-14,1.4002254217215791e-14,2.0738456524976856e-14
10,3.7539416020138106e-15,1.611027062539474e-14,1.6670099479265322e-14,0.19634954084938633
11,3.1866870253693946e-15,2.2716529178568035e-14,2.2519854904479164e-14,3.5498784901194513e-14
12,4.44956571588051e-15,2.6196492891594758e-14,2.590636039023764e-14,4.056303903876568e-14
13,8.03523914072457e-15,3.310448703358615e-14,3.3109365943362334e-14,5.1735959266663294e-14
14,5.6135651682609485e-15,3.417988845833261e-14,3.359865702873409e-14,0.09817477042473206
15,3.859759734048396e-15,3.1452488183369987e-14,3.137832875477198e-14,4.9255684166776836e-14
16,7.830541770559307e-15,4.654610030740969e-14,4.64402821753751e-14,6.577204059166064e-14
17,1.3997483727656856e-14,4.426103580867924e-14,4.4925651740412847e-14,6.972970378188448e-14
18,7.849623728795054e-15,5.3420444637554825e-14,5.3806603013535136e-14,8.399773038943549e-14
19,5.521624824034177e-15,5.305662593296789e-14,5.323665770370911e-14,8.372079071672366e-14
20,7.830541770559307e-15,6.584056216896172e-14,6.517529571592462e-14,1.0266223635091445e-13
21,1.2486539580081056e-14,7.414696027302493e-14,7.440765668539906e-14,1.166061062811419e-13
22,5.001207781241136e-15,8.949134835956053e-14,8.90918980897886e-14,0.09817477042481725
23,6.441028266301885e-15,9.388101190541119e-14,9.388187926714919e-14,1.472449007340615e-13
24,1.3695641842836892e-14,1.0287777574280454e-13,1.0275721246122417e-13,1.5744870685008294e-13
25,1.421779360910591e-14,1.0350498669958741e-13,1.0358223610437701e-13,1.6231113675324593e-13
26,6.826136877968736e-15,1.2504807301830144e-13,1.2440741823676129e-13,0.1963495408495464
27,9.053521821122958e-15,1.1232985028253317e-13,1.1216223262666693e-13,1.761206198241938e-13
28,6.678685382510707e-15,1.389183906796987e-13,1.39268371140977e-13,2.1723334936440966e-13
29,7.702172233337022e-15,1.4162423404157076e-13,1.4131886849969022e-13,2.2217042658714825e-13
30,7.809725088847586e-15,1.2933707924100981e-13,1.2933029979110866e-13,2.0258897322421626e-13
31,1.569577801063815e-14,1.7093975974297184e-13,1.712579188704877e-13,2.6818347889645544e-13
32,9.017092628127443e-15,2.7081942357446213e-13,4.508546314063722e-15,2.708111512816913e-13
33,1.7003759511524663e-14,1.2733673854519751,1.2733673854519738,3.1415926535897896
34,6.20510587356904e-15,1.6995737861619386e-13,1.6959568154059713e-13,2.674293150961301e-13
35,7.261552470438914e-15,1.2733673854519698,1.2733673854519718,3.1415926535897936
36,8.72565908416334e-15,2.324195523539796e-13,2.3187788494860584e-13,3.624114897071706e-13
37,8.184425359658576e-15,1.2733673854519685,1.2733673854519705,3.141592653589796
38,6.116634976294222e-15,2.2925165732226266e-13,2.3008663797736814e-13,0.1963495408497012
39,1.4072076837123859e-14,1.2733673854519756,1.2733673854519751,3.1415926535897927
