PWave_NWavelength,Error(Dens),Error(Real),Error(Imag),Error(Passive00)
1,6.761952109357594e-15,8.057808476133379e-08,8.05780848128876e-08,1.2655905200502533e-07
2,7.412473412848897e-15,5.126647680781919e-06,5.126647680762914e-06,8.078888379032674e-06
3,5.584074869169343e-15,5.8338207718399355e-05,5.833820771833581e-05,9.162813945944384e-05
4,5.617034615212901e-15,0.0003278800804285072,0.0003278800804283307,0.000511729866121875
5,1.4878723253453074e-14,0.001233280059332767,0.0012332800593328169,0.0019369924559902608
6,5.4539706084710815e-15,0.003636546227854352,0.003636546227854452,0.005729111629000247
7,4.557118571391072e-15,0.009096332722514337,0.009096332722514285,0.01428503267840207
8,4.4096670759330444e-15,0.020521653838589525,0.020521653838589574,0.031418356371878495
9,1.1244477571281664e-14,0.03996273298971336,0.0399627329897133,0.06275987347187348
10,4.583139423530724e-15,0.07396452388686742,0.0739645238868674,0.11615525679732903
11,5.3446830294845434e-15,0.12842347481709443,0.12842347481709449,0.3857592776980436
12,4.099151573733195e-15,0.20989438748536665,0.2098943874853666,0.6847289506106884
13,3.953434801751144e-15,0.3319462310610176,0.3319462310610175,0.9362032558686518
14,9.05178709764698e-15,0.4970155997134872,0.4970155997134876,1.388418463977008
15,9.473324902309345e-15,0.7115154067265445,0.7115154067265445,1.9191474780583608
16,4.345482307321902e-15,0.7977701352564953,0.7977701352564945,2.420480129411023
17,5.748873599387139e-15,1.1811691423632833,1.1811691423632829,2.949925099099945
18,4.0228237407902164e-15,1.2722074490199715,1.2722074490199715,3.141592653589791
19,1.1695505675035632e-14,1.049773248717992,1.0497732487179925,2.6901055988034455
20,1.1943571132100315e-14,0.35779294430826813,0.3577929443082679,0.8908789902245153
21,3.771288836773579e-15,0.6687278933286184,0.6687278933286177,1.8059486447309188
22,7.402065071993037e-15,1.2698186604624777,1.2698186604624786,3.14087889629498
23,6.076736336346755e-15,0.46032953008824645,0.4603295300882452,1.340047167787493
24,5.891120924417237e-15,1.0947317752996333,1.094731775299634,2.8824644713102967
25,8.130648931903296e-15,0.5315518578745886,0.5315518578745889,1.5028135610870856
26,9.671083378570701e-15,1.2703194444094177,1.270319444409415,3.1306341472785975
27,1.1662545928992074e-14,0.6433438248278474,0.6433438248278475,1.774931670913529
28,5.594483210025203e-15,0.1686609985188407,0.16866099851884003,0.6257744909658447
29,7.488801245791876e-15,0.5997344152717691,0.5997344152717697,1.6560458243525478
30,7.395126178089129e-15,0.6443454314083427,0.6443454314083438,1.8407586052064715
31,1.0725795251964598e-14,0.3069611592484677,0.30696115924846856,0.9017344899653192
32,9.92608772953929e-15,0.6817257266202457,0.26839215855506227,0.750118863927283
33,9.499345754448996e-15,1.2357494671841849,1.2357494671841844,3.0655073502857357
34,8.874845303097347e-15,0.64434543140838,0.6443454314083796,1.8407586052065128
35,1.0210582379599488e-14,1.123307880969704,1.1233078809697012,2.835093508087145
36,6.388986562022581e-15,0.16866099851893268,0.16866099851893182,0.6257744909659705
37,1.200775590071146e-14,1.099193899518314,1.0991938995183148,2.777540217463087
38,8.434225540199236e-15,1.270319444409405,1.2703194444094073,3.1306341472785864
39,9.18709552877317e-15,1.156652160469673,1.156652160469675,2.899281103790397
