PWave_NWavelength,Error(Dens),Error(Phase),Error(Passive00)
1,8.593299682946308e-14,3.6557454112517984e-14,0.0
2,1.466136240191318e-13,7.697813740603632e-14,0.0
3,1.288223000495137e-13,9.15803891055056e-14,0.0
4,2.2540996846842634e-13,1.435258162318931e-13,0.0
5,2.3312428376609523e-13,1.7279580544204978e-13,0.0
6,1.5095563687950178e-13,1.4847454862798593e-13,0.0
7,8.044953592190039e-14,1.470039368012266e-13,0.0
8,2.0839059644561786e-13,1.9527218383941225e-13,0.0
9,2.059793308140101e-13,2.082856456753213e-13,0.0
10,1.7704067378776503e-13,2.0138144624093362e-13,0.0
11,1.2973129515092552e-13,1.724566670024963e-13,0.0
12,1.241003827479048e-13,1.6766275867663438e-13,0.0
13,1.0797959748565233e-13,1.504595059653724e-13,0.0
14,9.213636797955616e-14,1.6083662179866565e-13,0.0
15,7.961686865343155e-14,1.7084424153157585e-13,0.0
16,5.4258680881602566e-14,1.8768320231288274e-13,0.0
17,5.1769352693575854e-14,1.8019266634361489e-13,0.0
18,4.739438008716234e-14,2.0029984615366206e-13,0.0
19,3.741625065334375e-14,1.9897451741801573e-13,0.0
20,4.313736867711526e-14,2.035559221180705e-13,0.0
21,4.1142436679741934e-14,1.9621110292078475e-13,0.0
22,3.0770525016876604e-14,2.065188298150389e-13,0.0
23,5.364111932415482e-14,2.0724741367494917e-13,0.0
24,3.655929725621121e-14,2.2168378244202813e-13,0.0
25,4.879430193227563e-14,2.175898350387229e-13,0.0
26,6.13398221105399e-14,2.098113349724429e-13,0.0
27,4.973452205625505e-14,2.2244706077145798e-13,0.0
28,6.58795934471712e-14,2.194286419232583e-13,0.0
29,5.943162628696541e-14,2.436661983296063e-13,0.0
30,5.960683335803907e-14,2.496197692991587e-13,0.0
31,3.993853858741403e-14,2.477809624146232e-13,0.0
32,5.3556117873831965e-14,2.330982629139555e-13,0.0
33,6.361404458754549e-14,2.5092428135309324e-13,0.0
34,4.037915835031213e-14,2.356934092340169e-13,0.0
35,6.316128176031555e-14,2.422922973366326e-13,0.0
36,3.586367314234451e-14,2.380526331613453e-13,0.0
37,6.051582845945092e-14,2.7251464973510053e-13,0.0
38,4.2988182458181257e-14,2.311033309165822e-13,0.0
39,7.609884944415057e-14,2.807372390112306e-13,0.0
