PWave_NWavelength,Error(Dens),Error(Real),Error(Imag),Error(Passive00)
1,1.6306400674181987e-14,5.6958561131525975e-15,5.453916398362457e-15,4.1775936009125214e-15
2,7.49747486317176e-15,2.7341293434808545e-15,3.897120740714665e-15,0.19634954084936448
3,6.446284478434095e-13,2.75173980823773e-13,2.752943814750275e-13,2.340102395713417e-13
4,2.9624165967523375e-11,8.027848351355171e-12,1.676244212878153e-11,8.970661453250317e-12
5,8.859058504145921e-10,3.639108543587039e-10,3.6390740719210654e-10,2.72595166437347e-10
6,1.0759821093137001e-08,2.5630447256520695e-09,6.390537892151913e-09,0.19634954434321436
7,4.123711857227652e-08,1.7341437219368927e-08,1.734188862596766e-08,1.3702933950076115e-08
8,2.43972943266349e-07,6.144264573515468e-08,1.487306343361805e-07,9.509160384720688e-08
9,1.6473115251047776e-06,6.497886293599225e-07,6.497580335091454e-07,3.9881835942198133e-07
10,5.597578605548437e-06,3.9398162443804686e-06,8.758346242626647e-07,2.55652654380196e-06
11,2.7634310388411493e-06,1.4782723501070546e-06,1.4782834272122165e-06,1.6668412020589044e-06
12,1.8662486886748816e-05,1.0038340475584332e-05,1.3203021095079502e-05,1.2829488897610987e-05
13,9.470290169789203e-05,4.2082595080538267e-05,4.207961023088534e-05,4.018168689841535e-05
14,0.0001406694163573613,0.00011182569879454485,4.240069365242396e-05,0.1964366715170856
15,0.000906334318667169,0.0003020599614711104,0.0003020576078502375,7.376329886970374e-05
16,0.0012187146107229558,0.0004979670725482124,0.00048283926654568184,0.0004917678742545964
17,0.0008169568483571698,0.0011013804904241942,0.0011013999871445784,0.0016889486470032789
18,0.009261538077321638,0.002218455877075167,0.004840057214190222,0.19906633391352715
19,0.027703438970280204,0.00998455116776892,0.009984661473354061,0.006185006660831032
20,0.02815576276484495,0.010376204300884453,0.01682792081269252,0.0144810541147924
21,0.03612961839767751,0.02096272600740634,0.020962670338284296,0.1251794511687544
22,0.13340725848416174,0.0650588486017726,0.06998341139194586,0.24537684534769352
23,0.2304009662028422,0.09970761049736085,0.09970675584874836,0.19736587083097465
24,0.1899057473785435,0.1321867083037094,0.11618560261475636,0.13343138960275897
25,0.2507978361176219,0.1499013016996322,0.1499009544261699,0.39085564802943856
26,0.47360812086142967,0.35367004082612963,0.4074923744700255,0.824990678923972
27,0.6418195546203742,0.4059041207182297,0.4059042918351051,1.1842919276110422
28,0.4938608468451473,0.054054810458501835,0.6602774303564404,1.706255289852426
29,0.8271668709240373,0.38547761056466734,0.38547732087312847,0.24307106998113748
30,0.917132532444528,0.7392125698685644,0.7563406765603649,3.0856777010706287
31,0.962308044409937,0.6419420950458038,0.6419425521770208,2.0624242277620968
32,0.9971784385304893,0.039116885264081455,0.9992706155859571,2.0256456619380807
33,0.9623082339320019,0.6450547181579935,0.6450547097251226,1.7192141731178971
34,0.9171339211295552,0.7392111451008246,0.7563407000841295,3.0856992518074184
35,0.8271676459747872,0.8955463737386091,0.8955464678503795,3.1296735517503693
36,0.49386201979381367,0.05406109439079956,0.6602761672518116,2.1569206219782053
37,0.6418098690686793,0.969110821389842,0.9691107098356986,2.9960365312967343
38,0.4736104657853508,0.35365344854095776,0.4074848265388967,0.824964364572039
39,0.2507898030071739,1.1817136269030093,1.1817138754315917,3.128286566628688
