RunName,Wavelength,Error(Dens),Error(Real)
fd_2_PWave_NWavelength,512,9.567583611086917e-14,2.307107104979988
fd_2_PWave_NWavelength,1,1.5319660951065788e-09,2.4063916399674486e-09
fd_2_PWave_NWavelength,2,2.4511543593927205e-08,3.8501687564912966e-08
fd_2_PWave_NWavelength,3,1.2408409061558701e-07,1.9490990090809338e-07
fd_2_PWave_NWavelength,4,3.921888732466789e-07,6.159898911718872e-07
fd_2_PWave_NWavelength,5,9.573525006731377e-07,1.50381362811784e-06
fd_2_PWave_NWavelength,6,1.9850694270226336e-06,3.1181357560784767e-06
fd_2_PWave_NWavelength,8,6.274957587063044e-06,9.853463750231849e-06
fd_2_PWave_NWavelength,9,1.0047141155004938e-05,1.5781996824530976e-05
fd_2_PWave_NWavelength,11,2.2415988675490067e-05,3.5210764300791225e-05
fd_2_PWave_NWavelength,12,3.173970504605003e-05,4.986313211168534e-05
fd_2_PWave_NWavelength,142,0.5436283318255417,1.5187976329703905
fd_2_PWave_NWavelength,15,7.746723245915114e-05,0.00012168667558976138
fd_2_PWave_NWavelength,270,1.216503591848763,3.0615069444134466
fd_2_PWave_NWavelength,17,0.00012776416671365204,0.012471756236018518
fd_2_PWave_NWavelength,20,0.00024458972898753616,0.0003842523079329048
fd_2_PWave_NWavelength,24,0.0005069694294359339,0.0007960820173922883
fd_2_PWave_NWavelength,28,0.0009380243004924019,0.0014733013023090907
fd_2_PWave_NWavelength,33,0.0018068941775771625,0.0028382482161509724
fd_2_PWave_NWavelength,39,0.003517114951213079,0.01777499908802388
fd_2_PWave_NWavelength,167,0.9213589751109985,2.4134373369819606
fd_2_PWave_NWavelength,46,0.006786772425326759,0.03512114003894346
fd_2_PWave_NWavelength,436,1.1564454630890515,2.8987655732772515
fd_2_PWave_NWavelength,54,0.012836659032520058,0.04455060721926799
fd_2_PWave_NWavelength,316,1.1091984599270377,2.829187984623248
fd_2_PWave_NWavelength,64,0.025830826825772063,0.03955093739768212
fd_2_PWave_NWavelength,196,1.2565217591043758,3.1281991050088243
fd_2_PWave_NWavelength,75,0.04711037419858111,0.14591521012468942
fd_2_PWave_NWavelength,88,0.08825151020055992,0.2326387691409608
fd_2_PWave_NWavelength,230,0.6654359628536811,1.8426354605262825
fd_2_PWave_NWavelength,103,0.16297977231713157,0.49341019534898417
fd_2_PWave_NWavelength,371,0.9517967395498019,2.4734932042695976
fd_2_PWave_NWavelength,121,0.30194934220220504,0.8847582587079422
fd_4_PWave_NWavelength,512,9.08411073604022e-14,2.3193789512830767
fd_4_PWave_NWavelength,1,3.0735202048910205e-14,4.8257069591413695e-14
fd_4_PWave_NWavelength,2,1.9687384453801267e-12,3.0924188550325842e-12
fd_4_PWave_NWavelength,3,2.2422750867834943e-11,3.52214143758972e-11
fd_4_PWave_NWavelength,4,1.2598371716514287e-10,1.9787581730763232e-10
fd_4_PWave_NWavelength,5,4.804837607654672e-10,7.547459460715438e-10
fd_4_PWave_NWavelength,6,1.4345151269774915e-09,2.253327607613746e-09
fd_4_PWave_NWavelength,8,8.059637043381627e-09,1.2655906067969981e-08
fd_4_PWave_NWavelength,9,1.6330134227327124e-08,2.565128228505085e-08
fd_4_PWave_NWavelength,11,5.44075099080624e-08,8.546267361252159e-08
fd_4_PWave_NWavelength,12,9.166330100306381e-08,1.440036478708439e-07
fd_4_PWave_NWavelength,142,0.1901628906152566,0.5892687911348491
fd_4_PWave_NWavelength,15,3.493294988291246e-07,5.487321215048378e-07
fd_4_PWave_NWavelength,270,0.5485534828008447,1.5817500643891114
fd_4_PWave_NWavelength,17,7.396180622340786e-07,1.1618028143289318e-06
fd_4_PWave_NWavelength,20,1.9578949672536563e-06,3.075885807859166e-06
fd_4_PWave_NWavelength,24,5.835181106473108e-06,9.16281394617133e-06
