OPT__FLU_INT_SCHEME,OPT__INT_PHASE,VorPairLin_kx,OPT__REF_FLU_INT_SCHEME,Mean_L1_Error
4,0,1,4,0.0005842132785291513
4,0,3,4,0.0020209780583825597
4,0,5,4,0.005147893154831204
4,0,7,4,0.010173936098543236
4,0,9,4,0.017097741215173424
4,0,11,4,0.025670964233172687
4,0,13,4,0.035664103015484616
4,0,15,4,0.046834293363491875
4,0,17,4,0.05897175093214749
4,0,19,4,0.07199126987307679
4,0,21,4,0.08584833575403775
4,0,23,4,0.1006941948743098
4,0,25,4,0.11688583879849869
4,0,27,4,0.1344401603757142
4,0,29,4,0.15412485273107557
4,0,31,4,0.17728647947218923
4,0,33,4,0.20364959966315638
4,0,35,4,0.2348026088437455
4,0,37,4,0.27019487944369064
4,0,39,4,0.3098882808264044
4,0,41,4,0.35436120689371997
4,0,43,4,0.401391608205531
4,0,45,4,0.4383219984682543
4,0,47,4,0.472819418863857
4,0,49,4,0.5084003638767414
4,0,51,4,0.5476961428745346
4,0,53,4,0.5936810124461893
4,0,55,4,0.6462762234776235
4,0,57,4,0.69893926672178
4,0,59,4,0.7504483009815964
4,1,1,4,0.000638136001766402
4,1,3,4,0.0017886193865941091
4,1,5,4,0.00445056363884433
4,1,7,4,0.008467017559671528
4,1,9,4,0.013608356959122913
4,1,11,4,0.0198228710667001
4,1,13,4,0.02725229668524943
4,1,15,4,0.03584032088664485
4,1,17,4,0.04595436154726994
4,1,19,4,0.05787188822229995
4,1,21,4,0.07427222600310045
4,1,23,4,0.09589321985382443
4,1,25,4,0.113710699737085
4,1,27,4,0.13220707737521104
4,1,29,4,0.15315242182219208
4,1,31,4,0.17726431875808268
4,1,33,4,0.2036244610699252
4,1,35,4,0.23375754091699905
4,1,37,4,0.2677193613316696
4,1,39,4,0.3061779390103171
4,1,41,4,0.34875389307019455
4,1,43,4,0.38810839761738675
4,1,45,4,0.41969658237879326
4,1,47,4,0.45283724354562327
4,1,49,4,0.4896526857293687
4,1,51,4,0.5326863172256315
4,1,53,4,0.5831329053943287
4,1,55,4,0.6392076941519498
