OPT__FLU_INT_SCHEME,OPT__REF_FLU_INT_SCHEME,OPT__INT_PHASE,PWave_NWavelength,Mean_L1_Error
8,8,0,1,7.158979355506578e-13
8,8,0,2,2.2488880275692812e-10
8,8,0,3,8.209594741347007e-09
8,8,0,4,1.1404494255288621e-07
8,8,0,5,6.164263429239188e-07
8,8,0,6,2.739231778273632e-06
8,8,0,7,1.0120945354531613e-05
8,8,0,8,3.527941038054393e-05
8,8,0,9,8.589735964856284e-05
8,8,0,10,0.0002130917385760854
8,8,0,11,0.00047755996416201527
8,8,0,12,0.0010531945316353552
8,8,0,13,0.0018370322113475605
8,8,0,14,0.003196926788455355
8,8,0,15,0.00521988952975196
8,8,0,16,0.007666506608681972
8,8,0,17,0.011103043265801377
8,8,0,18,0.014596242097209182
8,8,0,19,0.06659625365579719
8,8,0,20,0.01991419599287013
8,8,0,21,0.07159890541996812
8,8,0,22,0.02664267035341674
8,8,0,23,0.03645167618480893
8,8,0,24,0.05344579745584269
8,8,0,25,0.1280718751113465
8,8,0,26,0.11940502395333344
8,8,0,27,0.30030405669695315
8,8,0,28,0.4201266981409776
8,8,0,29,0.46508507112141995
8,8,0,30,0.5732819017799562
8,8,0,31,0.8382896568627389
8,8,0,32,0.8238835796031287
8,8,0,33,1.237037729187891
8,8,0,34,1.3649921764299544
8,8,0,35,1.4533128741335932
8,8,0,36,1.4113062233173697
8,8,0,37,1.5460412034437683
8,8,0,38,1.5974249033808883
8,8,0,39,1.586960094718484
8,8,0,40,1.616859218799224
8,8,0,41,1.6250106351345015
8,8,0,42,1.6276138046651494
8,8,0,43,1.6512270433318768
8,8,0,44,1.629779619365229
8,8,0,45,1.6040291569127163
8,8,0,46,1.6304179581466625
8,8,0,47,1.6299773726055165
8,8,0,48,1.6393250876058183
8,8,0,49,1.6294116640838157
8,8,0,50,1.6294576293428875
8,8,0,51,1.6288209157534537
8,8,0,52,1.629488754299
8,8,0,53,1.6284583683840714
8,8,0,54,1.6285021454455668
8,8,0,55,1.6283277407282317
8,8,0,56,1.6311801460317308
8,8,0,57,1.6283042187225931
8,8,0,58,1.6284372756444565
8,8,0,59,1.628300802603368
8,8,1,1,5.02196049502468e-13
8,8,1,2,2.0088472985763106e-12
8,8,1,3,4.5187648382242346e-12
8,8,1,4,8.036699073159931e-12
8,8,1,5,1.254535748017576e-11
8,8,1,6,1.8055322184183306e-11
8,8,1,7,2.4545981092420795e-11
8,8,1,8,3.208677930559983e-11
8,8,1,9,4.0415457330626736e-11
8,8,1,10,4.9743034778032547e-11
8,8,1,11,5.993015776022993e-11
8,8,1,12,7.098015399184185e-11
8,8,1,13,8.269576606064095e-11
8,8,1,14,9.512971093912463e-11
8,8,1,15,1.0811048361874728e-10
8,8,1,16,1.2279264280726232e-10
8,8,1,17,1.3534405558367647e-10
8,8,1,18,1.4934148104901908e-10
8,8,1,19,1.6335180914363052e-10
8,8,1,20,1.7737190524929475e-10
8,8,1,21,1.9090819542073346e-10
8,8,1,22,2.0412779515202421e-10
8,8,1,23,2.166830491212102e-10
8,8,1,24,2.2904374458263682e-10
8,8,1,25,2.393283063726161e-10
8,8,1,26,2.491080713018165e-10
8,8,1,27,2.5759007432494055e-10
8,8,1,28,2.6488946881222594e-10
8,8,1,29,2.7040761315755106e-10
8,8,1,30,2.7455524369301466e-10
8,8,1,31,2.770163486212661e-10
8,8,1,32,0.7438011204334987
8,8,1,33,1.6283006016936077
8,8,1,34,1.6284362353778497
8,8,1,35,1.6283006016936068
8,8,1,36,1.6289793426106098
8,8,1,37,1.6283006016936075
8,8,1,38,1.6284362353778499
8,8,1,39,1.6283006016936068
8,8,1,40,1.6311609682726158
8,8,1,41,1.6283006016936075
8,8,1,42,1.6284362353778508
8,8,1,43,1.6283006016936075
8,8,1,44,1.6289793426106098
8,8,1,45,1.6283006016936061
8,8,1,46,1.6284362353778516
8,8,1,47,1.6283006016936064
8,8,1,48,1.6400370113518177
8,8,1,49,1.6283006016936072
8,8,1,50,1.6284362353778503
8,8,1,51,1.6283006016936077
8,8,1,52,1.6289793426106103
8,8,1,53,1.6283006016936075
8,8,1,54,1.6284362353778503
8,8,1,55,1.6283006016936057
8,8,1,56,1.6311609682726167
8,8,1,57,1.6283006016936066
8,8,1,58,1.6284362353778505
8,8,1,59,1.6283006016936066
