OPT__FLU_INT_SCHEME,OPT__INT_PHASE,VorPairLin_kx,OPT__REF_FLU_INT_SCHEME,Mean_L1_Error
8,0,1,8,9.95347418295407e-11
8,0,3,8,4.977762398974028e-10
8,0,5,8,6.401405397092651e-09
8,0,7,8,2.633954101943104e-07
8,0,9,8,5.385561728227638e-06
8,0,11,8,7.27537978559496e-05
8,0,13,8,0.00048593368414072
8,0,15,8,0.001680668510136869
8,0,17,8,0.007302011105242686
8,0,19,8,0.02639409451417219
8,0,21,8,0.07491266674973618
8,0,23,8,0.13874232727238578
8,0,25,8,0.20563466215342308
8,0,27,8,0.2958840031825181
8,0,29,8,0.3663642948916809
8,0,31,8,0.4244565211774391
8,0,33,8,0.42423848764686356
8,0,35,8,0.3689048827873014
8,0,37,8,0.31998478760825316
8,0,39,8,0.2675730580865697
8,0,41,8,0.2661481575420179
8,0,43,8,0.3257646861915615
8,0,45,8,0.3858488555743089
8,0,47,8,0.43572795263631187
8,0,49,8,0.48290061149203284
8,0,51,8,0.5328117306861376
8,0,53,8,0.5872146675364471
8,0,55,8,0.6431244435034192
8,0,57,8,0.6973067468787226
8,0,59,8,0.7497021745550095
8,1,1,8,4.6513972592091025e-05
8,1,3,8,0.00028667081918221375
8,1,5,8,0.001631513508594465
8,1,7,8,0.005361201473263675
8,1,9,8,0.009334529392419431
8,1,11,8,0.017014574082361827
8,1,13,8,0.029302063944041622
8,1,15,8,0.06927189705402095
8,1,17,8,0.08244413292580371
8,1,19,8,0.07862220057325829
8,1,21,8,0.12243735064176642
8,1,23,8,0.2643029084870383
8,1,25,8,0.3718256974605587
8,1,27,8,0.4480893289306077
8,1,29,8,0.5908902186841944
8,1,31,8,0.6406318106413806
8,1,33,8,0.6374538362518027
8,1,35,8,0.5782288267954839
8,1,37,8,0.467695462941208
8,1,39,8,0.4337502693229539
8,1,41,8,0.35128969989579084
8,1,43,8,0.32969953883715497
8,1,45,8,0.3677233828991826
8,1,47,8,0.4267296832214323
8,1,49,8,0.4771677271704705
8,1,51,8,0.5314709010920713
8,1,53,8,0.5864030103312688
8,1,55,8,0.6432653222702843
8,1,57,8,0.6967820387277556
8,1,59,8,0.7496899413873614
