OPT__FLU_INT_SCHEME,OPT__REF_FLU_INT_SCHEME,OPT__INT_PHASE,PWave_NWavelength,Mean_L1_Error
8,8,1,1,0.0006353992933794818
8,8,1,3,0.0011616953801598276
8,8,1,5,0.0025383155888706556
8,8,1,7,0.006899670648149233
8,8,1,9,0.03552381541500136
8,8,1,11,0.02314212373577186
8,8,1,13,0.0326025649577128
8,8,1,15,0.06911463032111298
8,8,1,17,0.11818076515645462
8,8,1,19,0.13745718500873685
8,8,1,21,0.160189149304498
8,8,1,23,0.27184630066834303
8,8,1,25,0.30194228101033654
8,8,1,27,0.38378884332556285
8,8,1,29,0.4552313558089487
8,8,1,31,0.5008723230252778
8,8,1,33,1.5513614988650115
8,8,1,35,1.5189309435690372
8,8,1,37,1.549731476680573
8,8,1,39,1.6031041934909127
8,8,1,41,1.6128136751439306
8,8,1,43,1.6115144852622003
8,8,1,45,1.617023482738934
8,8,1,47,1.6430660348425155
8,8,1,49,1.6129848774632707
8,8,1,51,1.6276928604091472
8,8,1,53,1.627175573603096
8,8,1,55,1.6394206694048086
8,8,1,57,1.6273839343731074
8,8,1,59,1.628551157102057
