OPT__FLU_INT_SCHEME,OPT__INT_PHASE,VorPairLin_kx,OPT__REF_FLU_INT_SCHEME,Mean_L1_Error
8,1,1,8,1.4171767902645754e-05
8,1,3,8,8.40361118328607e-05
8,1,5,8,0.00045931676433133095
8,1,7,8,0.0015816240939551564
8,1,9,8,0.0037445526223722474
8,1,11,8,0.005646283570111262
8,1,13,8,0.01085580756646436
8,1,15,8,0.01652890452649737
8,1,17,8,0.01964634938911268
8,1,19,8,0.028663176122385472
8,1,21,8,0.03949577030145604
8,1,23,8,0.06390400211094399
8,1,25,8,0.09178498454842629
8,1,27,8,0.12763725851918367
8,1,29,8,0.14820801953066495
8,1,31,8,0.18487730325500512
8,1,33,8,0.1816565152398621
8,1,35,8,0.17566925886605173
8,1,37,8,0.20042672331375957
8,1,39,8,0.23358330917842512
8,1,41,8,0.2963539163306077
8,1,43,8,0.350584794074348
8,1,45,8,0.3974390927609754
8,1,47,8,0.4392968648266741
8,1,49,8,0.48360667459418616
8,1,51,8,0.534378028558391
8,1,53,8,0.5881062590598048
8,1,55,8,0.6438395333940956
8,1,57,8,0.6977180811289039
8,1,59,8,0.7497455179836195
