OPT__FLU_INT_SCHEME,OPT__REF_FLU_INT_SCHEME,OPT__INT_PHASE,PWave_NWavelength,Mean_L1_Error
8,8,1,1,5.02196049502468e-13
8,8,1,3,4.5187648382242346e-12
8,8,1,5,1.254535748017576e-11
8,8,1,7,2.4545981092420795e-11
8,8,1,9,4.0415457330626736e-11
8,8,1,11,5.993015776022993e-11
8,8,1,13,8.269576606064095e-11
8,8,1,15,1.0811048361874728e-10
8,8,1,17,1.3534405558367647e-10
8,8,1,19,1.6335180914363052e-10
8,8,1,21,1.9090819542073346e-10
8,8,1,23,2.166830491212102e-10
8,8,1,25,2.393283063726161e-10
8,8,1,27,2.5759007432494055e-10
8,8,1,29,2.7040761315755106e-10
8,8,1,31,2.770163486212661e-10
8,8,1,33,1.6283006016936077
8,8,1,35,1.6283006016936068
8,8,1,37,1.6283006016936075
8,8,1,39,1.6283006016936068
8,8,1,41,1.6283006016936075
8,8,1,43,1.6283006016936075
8,8,1,45,1.6283006016936061
8,8,1,47,1.6283006016936064
8,8,1,49,1.6283006016936072
8,8,1,51,1.6283006016936077
8,8,1,53,1.6283006016936075
8,8,1,55,1.6283006016936057
8,8,1,57,1.6283006016936066
8,8,1,59,1.6283006016936066
